tick,demand
0,41295
1,41084
2,40858
3,40570
4,40118
5,39548
6,39106
7,38812
8,38347
9,37881
10,37526
11,37118
12,37113
13,36800
14,36537
15,36320
16,36683
17,36621
18,36472
19,36449
20,36516
21,36083
22,35726
23,35237
24,34926
25,34547
26,34680
27,34718
28,34561
29,34742
30,34761
31,34946
32,34864
33,34859
34,35164
35,35686
36,36584
37,37188
38,37639
39,38307
40,39020
41,39757
42,40563
43,41330
44,41945
45,42795
46,43344
47,43552
48,43781
49,43727
50,43651
51,43554
52,43339
53,42974
54,42906
55,42736
56,42797
57,42541
58,42457
59,42307
60,42733
61,42849
62,42933
63,43044
64,43805
65,44695
66,45836
67,47004
68,47757
69,48220
70,48625
71,48815
72,49112
73,48976
74,49013
75,48499
76,48481
77,47904
78,47578
79,46984
80,46765
81,46028
82,45165
83,44706
84,44645
85,44516
86,44252
87,44253
88,44946
89,44412
90,43594
91,43115
92,42433
93,41546
94,40581
95,40019
96,39569
97,38598
98,38169
99,37599
100,37265
101,36561
102,36275
103,36134
104,36121
105,36118
106,36106
107,36115
108,36434
109,36236
110,36293
111,36543
112,36854
113,36910
114,37197
115,37443
116,37585
117,37497
118,37577
119,37966
120,38088
121,38191
122,38631
123,39271
124,39720
125,40136
126,40958
127,42063
128,42915
129,43679
130,44220
131,45312
132,46613
133,47375
134,48304
135,49028
136,49837
137,50056
138,50455
139,50780
140,51558
141,52058
142,52599
143,52863
144,52770
145,52676
146,52852
147,52516
148,52333
149,52088
150,51866
151,51677
152,51739
153,51532
154,51143
155,51043
156,51359
157,51308
158,51414
159,51418
160,52100
161,52554
162,53253
163,54323
164,55186
165,55816
166,56218
167,56621
168,56658
169,56457
170,56157
171,55625
172,55537
173,54894
174,54556
175,53940
176,52946
177,51861
178,50856
179,49901
180,49817
181,49685
182,48990
183,48888
184,49684
185,48814
186,48414
187,47699
188,47041
189,46329
190,45464
191,44674
192,44032
193,43317
194,42442
195,41909
196,41230
197,40781
198,40173
199,39831
200,39773
201,39351
202,39198
203,39046
204,38959
205,38979
206,39159
207,38881
208,39052
209,39162
210,39256
211,38996
212,38996
213,38728
214,38509
215,38146
216,37322
217,37734
218,37961
219,38226
220,38410
221,38701
222,39700
223,40363
224,40690
225,41235
226,41790
227,42491
228,43500
229,44277
230,45181
231,45836
232,46579
233,47218
234,47713
235,48622
236,49481
237,50426
238,51341
239,51367
240,51275
241,50998
242,50634
243,49972
244,49547
245,49291
246,49165
247,48420
248,48312
249,47869
250,47418
251,46920
252,47544
253,47551
254,47746
255,47775
256,48153
257,48707
258,49703
259,50941
260,52116
261,52438
262,53284
263,53748
264,54376
265,54151
266,53932
267,53834
268,53464
269,52966
270,52409
271,52058
272,51997
273,51121
274,50287
275,49350
276,49807
277,49599
278,49203
279,49339
280,50331
281,49474
282,48402
283,47726
284,46921
285,46348
286,45618
287,44574
288,44719
289,43803
