name,bus0,bus1,x,r,s_nom
2,94,86,2.308285036,0.425590054,490
3,142,86,2.114328719,0.389829358,490
4,87,159,2.969431856,0.547488998,490
5,161,88,2.82490982,0.520842748,490
6,162,161,11.01181145,2.030302736,490
7,83,159,4.559371399,0.840634102,490
8,100,8,1.820484417,0.335651814,490
9,159,100,7.018315148,1.294001855,490
10,161,99,6.465882375,1.192147063,490
11,9,151,0.757886059,0.139735242,490
12,123,9,0.450981072,0.083149635,490
13,123,148,3.863161197,0.712270346,490
14,155,82,2.317357083,0.427262712,490
15,154,10,3.413085142,0.629287573,490
16,10,148,5.582238858,1.029225289,490
17,89,92,4.475807948,0.82522709,490
18,154,148,8.99732756,1.658882269,490
19,145,12,9.221374995,1.700191015,490
20,145,91,8.546241861,1.575713343,490
21,11,90,0.561465912,0.103520278,490
22,154,11,2.494223801,0.459872513,490
23,12,90,0.559511122,0.103159863,490
24,13,392,11.33362361,2.089636853,490
26,154,155,9.994723917,1.842777222,490
27,158,123,4.986219636,0.919334245,490
28,98,142,2.526296831,0.465785978,490
29,85,142,1.041964591,0.192112221,490
30,15,202,2.249839413,0.259596855,1700
31,156,93,3.093008394,0.356885584,1700
32,153,148,9.309302119,1.074150244,1700
33,145,16,6.303796838,0.727361174,1700
34,17,132,3.582951685,0.413417502,1700
36,122,176,4.039995819,0.744874229,490
37,175,176,2.389712505,0.275736058,1700
38,157,158,4.277311509,0.493535943,1700
39,151,149,9.293995169,1.713580359,490
40,18,150,2.479376252,0.286081875,1700
41,18,149,6.038733345,0.696776924,1700
42,151,157,8.261361072,0.95323397,1700
43,151,149,7.361359209,0.849387601,1700
44,149,142,4.954930271,0.571722724,1700
45,142,94,4.405903069,0.812338378,490
46,159,86,4.212377193,0.486043522,1700
47,101,161,6.432819255,1.18605105,490
48,164,115,7.284508567,1.343081267,490
49,115,171,1.136056786,0.20946047,490
50,165,173,8.678016974,1.60000938,490
51,117,173,7.023507013,1.294959105,490
52,118,173,8.840967147,1.630053318,490
53,19,155,2.076838672,0.38291713,490
54,122,155,5.929408421,1.093234678,490
55,159,20,6.207876333,0.716293423,1700
56,20,114,3.589790471,0.414206593,1700
57,163,171,4.934534823,0.569369403,1700
58,173,171,4.639800211,0.535361563,1700
59,172,173,4.811791603,0.555206723,1700
60,174,183,19.24299452,2.220345522,1700
61,173,119,4.427643298,0.510881919,1700
62,172,171,5.460040105,0.630004627,1700
63,156,118,9.692531944,1.787060577,490
64,156,178,12.01117376,2.214560162,490
