,Import,Export
2016-01-01 00:00:00,2467.0,12986.0
2016-01-01 00:15:00,2467.0,12986.0
2016-01-01 00:30:00,2467.0,12986.0
2016-01-01 00:45:00,2467.0,12986.0
2016-01-01 01:00:00,2183.0,11402.0
2016-01-01 01:15:00,2183.0,11402.0
2016-01-01 01:30:00,2183.0,11402.0
2016-01-01 01:45:00,2183.0,11402.0
2016-01-01 02:00:00,2251.0,11819.0
2016-01-01 02:15:00,2251.0,11819.0
2016-01-01 02:30:00,2251.0,11819.0
2016-01-01 02:45:00,2251.0,11819.0
2016-01-01 03:00:00,2376.0,12703.0
2016-01-01 03:15:00,2376.0,12703.0
2016-01-01 03:30:00,2376.0,12703.0
2016-01-01 03:45:00,2376.0,12703.0
2016-01-01 04:00:00,2306.0,10958.0
2016-01-01 04:15:00,2306.0,10958.0
2016-01-01 04:30:00,2306.0,10958.0
2016-01-01 04:45:00,2306.0,10958.0
2016-01-01 05:00:00,2299.0,10979.0
2016-01-01 05:15:00,2299.0,10979.0
2016-01-01 05:30:00,2299.0,10979.0
2016-01-01 05:45:00,2299.0,10979.0
2016-01-01 06:00:00,2459.0,11346.0
2016-01-01 06:15:00,2459.0,11346.0
2016-01-01 06:30:00,2459.0,11346.0
2016-01-01 06:45:00,2459.0,11346.0
2016-01-01 07:00:00,2723.0,12264.0
2016-01-01 07:15:00,2723.0,12264.0
2016-01-01 07:30:00,2723.0,12264.0
2016-01-01 07:45:00,2723.0,12264.0
2016-01-01 08:00:00,3072.0,12210.0
2016-01-01 08:15:00,3072.0,12210.0
2016-01-01 08:30:00,3072.0,12210.0
2016-01-01 08:45:00,3072.0,12210.0
2016-01-01 09:00:00,2903.0,9950.0
2016-01-01 09:15:00,2903.0,9950.0
2016-01-01 09:30:00,2903.0,9950.0
2016-01-01 09:45:00,2903.0,9950.0
2016-01-01 10:00:00,3835.0,10328.0
2016-01-01 10:15:00,3835.0,10328.0
2016-01-01 10:30:00,3835.0,10328.0
2016-01-01 10:45:00,3835.0,10328.0
2016-01-01 11:00:00,3963.0,9571.0
2016-01-01 11:15:00,3963.0,9571.0
2016-01-01 11:30:00,3963.0,9571.0
2016-01-01 11:45:00,3963.0,9571.0
2016-01-01 12:00:00,3801.0,9054.0
2016-01-01 12:15:00,3801.0,9054.0
2016-01-01 12:30:00,3801.0,9054.0
2016-01-01 12:45:00,3801.0,9054.0
2016-01-01 13:00:00,4084.0,8855.0
2016-01-01 13:15:00,4084.0,8855.0
2016-01-01 13:30:00,4084.0,8855.0
2016-01-01 13:45:00,4084.0,8855.0
2016-01-01 14:00:00,4491.0,8965.0
2016-01-01 14:15:00,4491.0,8965.0
2016-01-01 14:30:00,4491.0,8965.0
2016-01-01 14:45:00,4491.0,8965.0
2016-01-01 15:00:00,5572.0,8591.0
2016-01-01 15:15:00,5572.0,8591.0
2016-01-01 15:30:00,5572.0,8591.0
2016-01-01 15:45:00,5572.0,8591.0
2016-01-01 16:00:00,5852.0,7404.0
2016-01-01 16:15:00,5852.0,7404.0
2016-01-01 16:30:00,5852.0,7404.0
2016-01-01 16:45:00,5852.0,7404.0
2016-01-01 17:00:00,6099.0,7854.0
2016-01-01 17:15:00,6099.0,7854.0
2016-01-01 17:30:00,6099.0,7854.0
2016-01-01 17:45:00,6099.0,7854.0
2016-01-01 18:00:00,6428.0,7297.0
2016-01-01 18:15:00,6428.0,7297.0
2016-01-01 18:30:00,6428.0,7297.0
2016-01-01 18:45:00,6428.0,7297.0
2016-01-01 19:00:00,5524.0,7320.0
2016-01-01 19:15:00,5524.0,7320.0
2016-01-01 19:30:00,5524.0,7320.0
2016-01-01 19:45:00,5524.0,7320.0
2016-01-01 20:00:00,3768.0,7458.0
2016-01-01 20:15:00,3768.0,7458.0
2016-01-01 20:30:00,3768.0,7458.0
2016-01-01 20:45:00,3768.0,7458.0
2016-01-01 21:00:00,4128.0,8461.0
2016-01-01 21:15:00,4128.0,8461.0
2016-01-01 21:30:00,4128.0,8461.0
2016-01-01 21:45:00,4128.0,8461.0
2016-01-01 22:00:00,4112.0,9015.0
2016-01-01 22:15:00,4112.0,9015.0
2016-01-01 22:30:00,4112.0,9015.0
2016-01-01 22:45:00,4112.0,9015.0
2016-01-01 23:00:00,2889.0,10241.0
2016-01-01 23:15:00,2889.0,10241.0
2016-01-01 23:30:00,2889.0,10241.0
2016-01-01 23:45:00,2889.0,10241.0
2016-01-02 00:00:00,1677.0,9185.0
2016-01-02 00:15:00,1677.0,9185.0
