hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t0001," 2,088.87 ", 310.00 , 479.73 , 828.29 , 546.86 , 940.66 ," 11,981.58 "," 11,963.00 ", 437.25 , 230.58 , 576.66 , 242.66 
t0002," 2,120.19 ", 311.93 , 482.71 , 840.77 , 550.26 , 939.54 ," 12,160.25 "," 12,100.59 ", 439.97 , 230.28 , 580.24 , 241.33 
t0003," 2,135.77 ", 315.13 , 487.67 , 846.93 , 555.91 , 946.83 ," 12,249.97 "," 12,309.35 ", 444.49 , 232.06 , 586.20 , 242.85 
t0004," 2,203.40 ", 321.44 , 499.50 , 873.80 , 569.39 , 972.21 ," 12,637.05 "," 13,474.56 ", 455.27 , 238.29 , 600.42 , 248.25 
t0005," 2,286.20 ", 332.37 , 516.05 , 906.67 , 588.26 ," 1,002.93 "," 13,111.43 "," 14,653.33 ", 470.36 , 245.81 , 620.31 , 256.17 
t0006," 2,377.28 ", 344.81 , 536.35 , 942.81 , 609.95 ," 1,038.88 "," 13,633.41 "," 15,507.99 ", 487.70 , 254.62 , 644.77 , 265.41 
t0007," 2,446.03 ", 352.48 , 550.12 , 970.13 , 623.27 ," 1,060.83 "," 14,026.84 "," 15,735.26 ", 498.35 , 259.99 , 661.40 , 271.05 
t0008," 2,487.28 ", 357.45 , 557.28 , 986.52 , 631.87 ," 1,078.89 "," 14,263.02 "," 15,389.81 ", 505.23 , 264.43 , 669.99 , 274.67 
t0009," 2,476.18 ", 355.12 , 554.20 , 982.12 , 628.76 ," 1,072.68 "," 14,199.32 "," 14,676.31 ", 502.74 , 262.91 , 666.28 , 273.23 
t0010," 2,435.03 ", 349.22 , 543.13 , 965.79 , 617.18 ," 1,055.55 "," 13,963.51 "," 14,047.67 ", 494.34 , 258.71 , 652.86 , 268.33 
t0011," 2,363.67 ", 339.02 , 526.66 , 937.45 , 600.05 ," 1,028.34 "," 13,554.80 "," 13,237.80 ", 480.70 , 252.04 , 632.95 , 260.99 
t0012," 2,283.96 ", 328.09 , 508.79 , 905.78 , 582.31 ," 1,000.96 "," 13,098.58 "," 12,531.44 ", 467.17 , 245.32 , 611.31 , 253.69 
t0013," 2,206.20 ", 316.93 , 489.73 , 874.89 , 563.87 , 971.81 ," 12,653.37 "," 12,052.06 ", 453.49 , 238.17 , 588.20 , 246.08 
t0014," 2,188.86 ", 314.45 , 483.36 , 867.98 , 560.63 , 968.42 ," 12,554.57 "," 11,686.19 ", 451.84 , 237.34 , 580.33 , 245.23 
t0015," 2,142.07 ", 308.08 , 471.81 , 849.38 , 549.66 , 952.31 ," 12,286.70 "," 11,344.86 ", 443.82 , 233.39 , 566.30 , 240.92 
