tick,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
0,6594,2284,0,966,6000
1,6409,2278,0,966,6000
2,6276,2278,0,967,6000
3,6209,2261,0,965,6000
4,6252,2271,0,966,6000
5,6250,2291,0,971,6000
6,6313,2306,0,974,6000
7,6360,2274,0,972,6000
8,6316,2250,0,970,6000
9,6300,2243,0,968,6000
10,6301,2221,0,967,6000
11,6335,2201,0,967,6000
12,6401,2080,0,962,6000
13,6469,2037,0,954,6000
14,6433,1997,0,951,6000
15,6421,1932,0,951,6000
16,6441,1934,0,951,6000
17,6437,2012,0,948,6000
18,6358,1963,0,948,6000
19,6173,1862,0,949,6000
20,5961,1722,0,948,6000
21,5774,1578,0,942,6000
22,5625,1574,0,939,6000
23,5588,1456,0,937,6000
24,5480,1370,0,935,6000
25,5330,1365,0,933,6000
26,5159,1292,0,939,6000
27,5011,1291,0,940,6000
28,4876,1134,0,942,6000
29,4757,921,0,943,6000
30,4596,949,0,942,6000
31,4459,803,0,939,6000
32,4229,690,8,949,6000
33,4066,683,42,952,6000
34,3908,634,147,951,6000
35,3769,597,351,981,6000
36,3597,497,583,1010,6000
37,3370,432,775,1013,6000
38,3174,425,1013,1011,6000
39,3020,420,1487,1010,6000
40,2837,388,1896,1004,6000
41,2587,343,2330,1001,6000
42,2357,280,2720,1002,6000
43,2087,223,3144,1002,6000
44,1923,175,3468,993,6000
45,1749,174,3697,994,6000
46,1568,182,3859,995,6000
47,1385,166,4046,992,6000
48,1291,154,4123,994,6000
49,1216,140,4141,991,6000
50,1112,130,4085,992,6000
51,1000,107,4135,995,6000
52,885,83,3978,1002,6000
53,746,89,3881,1004,6000
54,628,85,3637,1005,6000
55,565,77,3372,1008,6000
56,525,69,3037,1020,6000
57,453,59,2629,1023,6000
58,416,41,2248,1027,6000
59,394,25,1854,1024,6000
60,378,15,1407,1034,6000
61,381,5,983,1039,6000
62,401,4,632,1041,6000
63,432,2,341,1046,6000
64,489,2,136,1032,6000
65,577,2,41,1038,6000
66,713,2,18,1035,6000
67,872,2,7,1033,6000
68,997,2,0,1029,6000
69,1168,2,0,1027,6000
70,1404,3,0,1024,6000
71,1605,13,0,1026,6000
72,1788,48,0,1027,6000
73,1963,80,0,1023,6000
74,2107,107,0,1019,6000
75,2352,141,0,1019,6000
76,2671,180,0,1021,6000
77,2940,237,0,1022,6000
78,3303,290,0,1009,6000
79,3507,358,0,970,6000
80,3666,447,0,968,6000
81,3712,578,0,970,6000
82,3773,684,0,970,6000
83,3937,734,0,969,6000
84,4172,815,0,969,6000
85,4408,873,0,971,6000
86,4652,917,0,972,6000
87,4774,1024,0,975,6000
88,4807,1132,0,975,6000
89,4937,1162,0,974,6000
90,5073,1163,0,972,6000
91,5141,1306,0,970,6000
92,5318,1391,0,972,6000
93,5492,1438,0,971,6000
94,5626,1500,0,975,6000
95,5591,1476,0,975,6000
96,5574,1488,0,972,6000
97,5703,1618,0,967,6000
98,5886,1695,0,966,6000
99,6057,1825,0,967,6000
100,6188,1968,0,968,6000
101,6387,2123,0,968,6000
102,6725,2189,0,972,6000
103,7110,2361,0,975,6000
104,7512,2433,0,972,6000
105,7985,2485,0,971,6000
106,8518,2532,0,969,6000
107,8807,2589,0,966,6000
108,8758,2672,0,961,6000
109,8983,2719,0,962,6000
110,9396,2751,0,965,6000
111,9746,2771,0,966,6000
112,10138,2778,0,969,6000
113,10484,2779,0,971,6000
114,10857,2784,0,971,6000
115,11198,2788,0,971,6000
116,11430,2800,0,970,6000
117,11663,2812,0,971,6000
118,11966,2816,0,971,6000
119,12258,2812,0,969,6000
120,12449,2817,0,966,6000
121,12632,2818,0,966,6000
122,12762,2804,0,967,6000
123,12831,2809,0,968,6000
124,13005,2806,0,966,6000
125,13156,2798,0,969,6000
126,13300,2798,0,967,6000
127,13590,2797,0,964,6000
128,13577,2801,6,966,6000
