ID,technology,fuel,node,maxPower,minPower,efficiency,emission,rampUp,rampDown,variableCosts,hotStartCosts,warmStartCosts,coldStartCosts,minOperatingTime,minDowntime,heatExtraction,maxExtraction,heatingDistrict,company,year
BNA0005,open cycle gas turbine,natural gas,363,37.5,9.375,0.354,0.57,37.5,37.5,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Ahrensfelde,1990
BNA0006,open cycle gas turbine,natural gas,363,37.5,9.375,0.354,0.57,37.5,37.5,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Ahrensfelde,1990
BNA0007,open cycle gas turbine,natural gas,363,37.5,9.375,0.354,0.57,37.5,37.5,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Ahrensfelde,1990
BNA0008,open cycle gas turbine,natural gas,363,37.5,9.375,0.354,0.57,37.5,37.5,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Ahrensfelde,1990
BNA0012b,open cycle gas turbine,natural gas,223,20.0,5.0,0.327,0.618,20.0,20.0,3.0,19.5,34.5,43.5,0,0,yes,37.0,DH_DE_Ind,Werkskraftwerk Sappi Alfeld,1947
BNA0015,open cycle gas turbine,natural gas,46,65.0,16.25,0.37200000000000005,0.542,65.0,65.0,3.0,16.5,21.0,28.5,0,0,yes,130.0,DH_DE_Neckar,Heizkraftwerk Altbach/Deizisau,1997
BNA0016,open cycle gas turbine,natural gas,46,50.0,12.5,0.305,0.6629999999999999,50.0,50.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Heizkraftwerk Altbach/Deizisau,1971
BNA0017,open cycle gas turbine,natural gas,46,57.0,14.25,0.31,0.6509999999999999,57.0,57.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Heizkraftwerk Altbach/Deizisau,1973
BNA0018,open cycle gas turbine,natural gas,46,81.0,20.25,0.315,0.6409999999999999,81.0,81.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Heizkraftwerk Altbach/Deizisau,1975
BNA0019,hard coal,hard coal,46,336.0,134.4,0.44,0.773,235.2,235.2,1.3,30.5,47.5,69.3,7,6,yes,280.0,DH_DE_Neckar,Heizkraftwerk Altbach/Deizisau,1997
BNA0020,hard coal,hard coal,46,433.0,173.20000000000002,0.455,0.747,303.09999999999997,303.09999999999997,1.3,30.5,47.5,69.3,7,6,yes,280.0,DH_DE_Neckar,Heizkraftwerk Altbach/Deizisau,1985
BNA0025,open cycle gas turbine,natural gas,417,15.1,3.775,0.377,0.535,15.1,15.1,3.0,19.5,34.5,43.5,0,0,yes,31.0,DH_DE_Ind,Kesselhaus Zuckerfabrik,1993
BNA0033,open cycle gas turbine,natural gas,296,28.8,7.2,0.39,0.517,28.8,28.8,3.0,16.5,21.0,28.5,0,0,yes,41.0,DH_DE_Rem,Gasturbine,2004
BNA0051,open cycle gas turbine,natural gas,373,18.0,4.5,0.377,0.535,18.0,18.0,3.0,19.5,34.5,43.5,0,0,yes,28.0,DH_DE_Ind,KWK-Anlage Barby,2013
BNA0059b,combined cycle gas turbine,natural gas,226,78.0,31.200000000000003,0.599,0.337,66.3,66.3,4.0,23.0,34.2,46.7,5,6,yes,111.0,DH_DE_Ind,"GuD Baunatal, VW Werksgelände",2013
BNA0067,hard coal,hard coal,145,717.0,286.8,0.37799999999999995,0.9009999999999999,501.9,501.9,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Bergkamen,1981
BNA0070,open cycle gas turbine,natural gas,364,8.0,2.0,0.406,0.49700000000000005,8.0,8.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,HKW Adlershof,2010
BNA0071,open cycle gas turbine,natural gas,364,5.0,1.25,0.37,0.546,5.0,5.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,HKW Adlershof,1996
BNA0072,open cycle gas turbine,natural gas,364,7.0,1.75,0.385,0.524,7.0,7.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,HKW Adlershof,2002
BNA0073,combined cycle gas turbine,natural gas,369,444.0,177.60000000000002,0.522,0.387,377.4,377.4,4.0,24.0,34.2,46.7,5,6,yes,638.0,DH_DE_Berlin,Mitte,1996
BNA0074,open cycle gas turbine,natural gas,370,211.0,52.75,0.38,0.531,211.0,211.0,3.0,16.5,21.0,28.5,0,0,yes,300.0,DH_DE_Berlin,Charlottenburg,1975
BNA0075,open cycle gas turbine,natural gas,370,144.0,36.0,0.38299999999999995,0.527,144.0,144.0,3.0,19.5,34.5,43.5,0,0,yes,240.0,DH_DE_Berlin,Lichterfelde,1972
BNA0076,open cycle gas turbine,natural gas,370,144.0,36.0,0.38299999999999995,0.527,144.0,144.0,3.0,19.5,34.5,43.5,0,0,yes,240.0,DH_DE_Berlin,Lichterfelde,1974
BNA0080,open cycle gas turbine,natural gas,370,144.0,36.0,0.38299999999999995,0.527,144.0,144.0,3.0,19.5,34.5,43.5,0,0,yes,240.0,DH_DE_Berlin,Lichterfelde,1973
BNA0081,lignite,lignite,364,164.0,82.0,0.35700000000000004,1.018,82.0,82.0,7.0,45.1,73.9,73.2,10,7,yes,432.0,DH_DE_Berlin,Klingenberg,1981
BNA0082,hard coal,hard coal,371,124.0,49.6,0.348,0.9790000000000001,86.8,86.8,1.3,45.1,73.9,73.2,7,6,yes,244.0,DH_DE_Berlin,Reuter,1969
BNA0083,oil,oil,370,276.0,69.0,0.36,0.74,276.0,276.0,3.0,20.7,35.8,45.1,0,0,yes,330.0,DH_DE_Berlin,Wilmersdorf,1977
BNA0085a,hard coal,hard coal,370,89.0,35.6,0.4,0.85,62.3,62.3,1.3,45.1,73.9,73.2,7,6,yes,136.0,DH_DE_Berlin,Moabit,1990
BNA0085b,oil,oil,370,51.0,12.75,0.305,0.873,51.0,51.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,Moabit,1971
BNA0086,hard coal,hard coal,371,282.0,112.80000000000001,0.39299999999999996,0.866,197.39999999999998,197.39999999999998,1.3,45.1,73.9,73.2,7,6,yes,363.0,DH_DE_Berlin,Reuter West,1987
BNA0087,hard coal,hard coal,371,282.0,112.80000000000001,0.395,0.861,197.39999999999998,197.39999999999998,1.3,45.1,73.9,73.2,7,6,yes,363.0,DH_DE_Berlin,Reuter West,1988
BNA0088a,combined cycle gas turbine,natural gas,373,35.0,14.0,0.33,0.612,29.75,29.75,4.0,24.0,34.2,46.7,5,6,yes,78.0,DH_DE_Ind,Industriekraftwerk Bernburg (IKB),1994
BNA0093,hard coal,hard coal,244,721.0,288.40000000000003,0.38299999999999995,0.889,504.7,504.7,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,Kraftwerk Bexbach,1983
BNA0098,open cycle gas turbine,natural gas,214,23.0,5.75,0.361,0.5589999999999999,23.0,23.0,3.0,19.5,34.5,43.5,0,0,yes,46.0,DH_DE_Rem,HKW Schildescher Straße,1978
BNA0099,open cycle gas turbine,natural gas,211,55.0,13.75,0.315,0.6409999999999999,55.0,55.0,3.0,16.5,21.0,28.5,0,0,no,0.0,N/A,Gasturbinenkraftwerk Bielefeld Ummeln,1975
BNA0100,combined cycle gas turbine,natural gas,214,37.5,15.0,0.563,0.359,31.875,31.875,4.0,23.0,34.2,46.7,5,6,yes,22.0,DH_DE_Rem,GuD Kraftwerk Hillegossen,2005
BNA0101,open cycle gas turbine,natural gas,214,41.0,10.25,0.348,0.581,41.0,41.0,3.0,19.5,34.5,43.5,0,0,yes,87.0,DH_DE_Rem,HKW Schildescher Straße,1966
BNA0105,combined cycle gas turbine,natural gas,337,106.0,42.400000000000006,0.54,0.374,90.1,90.1,4.0,24.0,34.2,46.7,5,6,yes,110.0,DH_DE_Ind,GuD Bitterfeld,2000
BNA0110,open cycle gas turbine,natural gas,89,20.7,5.175,0.389,0.518,20.7,20.7,3.0,19.5,34.5,43.5,0,0,yes,43.0,DH_DE_Gelsenkirchen,Bochum,2004
BNA0111,open cycle gas turbine,natural gas,122,44.0,11.0,0.4,0.504,44.0,44.0,3.0,19.5,34.5,43.5,0,0,yes,220.0,DH_DE_Gelsenkirchen,HKW Hiltrop,2014
BNA0115,lignite,lignite,344,875.0,437.5,0.4,0.9079999999999999,437.5,437.5,7.0,30.4,47.5,69.3,10,7,yes,449.0,DH_DE_Rem,Lippendorf,2000
BNA0116,lignite,lignite,344,875.0,437.5,0.39799999999999996,0.914,437.5,437.5,7.0,30.4,47.5,69.3,10,7,yes,449.0,DH_DE_Ind,Braunkohlekraftwerk Lippendorf,1999
BNA0117b,open cycle gas turbine,natural gas,445,95.0,23.75,0.39899999999999997,0.505,95.0,95.0,3.0,19.5,34.5,43.5,0,0,yes,136.0,DH_DE_Rem,Heizkraftwerk Karlstraße,2013
BNA0122,lignite,lignite,354,465.0,232.5,0.38299999999999995,0.948,232.5,232.5,7.0,30.4,47.5,69.3,10,7,yes,238.0,DH_DE_Rem,Boxberg,1979
BNA0123,lignite,lignite,354,465.0,232.5,0.386,0.9420000000000001,232.5,232.5,7.0,30.4,47.5,69.3,10,7,yes,238.0,DH_DE_Rem,Boxberg,1980
BNA0124,lignite,lignite,354,857.0,428.5,0.4,0.9079999999999999,428.5,428.5,7.0,30.4,47.5,69.3,10,7,no,0.0,N/A,Boxberg,2000
BNA0129,open cycle gas turbine,natural gas,358,36.0,9.0,0.382,0.529,36.0,36.0,3.0,19.5,34.5,43.5,0,0,yes,55.0,DH_DE_Rem,HKW,1997
BNA0130,combined cycle gas turbine,natural gas,372,160.0,64.0,0.513,0.39299999999999996,136.0,136.0,4.0,24.0,34.2,46.7,5,6,no,0.0,N/A,Kirchmöser,1994
BNA0135,combined cycle gas turbine,natural gas,133,20.0,8.0,0.41,0.493,17.0,17.0,4.0,23.0,34.2,46.7,5,6,yes,40.0,DH_DE_Rem,HKW-Mitte,1971
BNA0136,combined cycle gas turbine,natural gas,133,74.0,29.6,0.585,0.345,62.9,62.9,4.0,23.0,34.2,46.7,5,6,yes,60.0,DH_DE_Rem,HKW-Mitte,2010
BNA0137,open cycle gas turbine,natural gas,133,25.0,6.25,0.289,0.698,25.0,25.0,3.0,16.5,21.0,28.5,0,0,yes,80.0,DH_DE_Rem,HKW-Nord,1965
BNA0138,hard coal,hard coal,133,43.3,17.32,0.46799999999999997,0.727,30.309999999999995,30.309999999999995,1.3,45.1,73.9,73.2,7,6,yes,124.0,DH_DE_Ind,HKW-Mitte,1984
BNA0141,oil,oil,399,88.0,22.0,0.312,0.851,88.0,88.0,3.0,20.7,35.8,45.1,0,0,no,0.0,N/A,KW Mittelsbüren,1974
BNA0144,hard coal,hard coal,401,119.0,47.6,0.39799999999999996,0.856,83.3,83.3,1.3,45.1,73.9,73.2,7,6,yes,155.0,DH_DE_Rem,KW Hastedt,1989
BNA0146,hard coal,hard coal,399,300.0,120.0,0.373,0.9129999999999999,210.0,210.0,1.3,30.5,47.5,69.3,7,6,no,0.0,N/A,KW Hafen,1979
