tick,demand
0,42293.35
1,42032.96
2,41785.33
3,41510.17
4,40861.87
5,40250.53
6,39833.5
7,39557.38
8,39004.46
9,38606.67
10,38258.31
11,37845.19
12,37843.37
13,37574.33
14,37376.53
15,37143.2
16,37276.18
17,37193.13
18,37079.15
19,37051.8
20,36982.95
21,36545.32
22,36242.3
23,35779.79
24,35403.96
25,35026.45
26,35060.17
27,35123.49
28,35261.2
29,35403.25
30,35502.01
31,35695.67
32,35935.18
33,35927.32
34,36263.51
35,36617.95
36,37479.26
37,37986.17
38,38407.39
39,39045.35
40,39732.45
41,40408.46
42,41143.71
43,41873.96
44,42527.74
45,43298.99
46,43847.81
47,44080.65
48,44316.07
49,44308.92
50,44227.55
51,44129.46
52,43878.28
53,43556.15
54,43506.21
55,43365.15
56,43385.95
57,43169.33
58,43071.75
59,42912.4
60,43414.15
61,43539.52
62,43676.05
63,43819.29
64,44557.16
65,45449.09
66,46642.87
67,47824.05
68,48828.87
69,49368.8
70,49806.47
71,49956.25
72,50270.11
73,50168.39
74,50203.43
75,49710.01
76,49695.05
77,49088.26
78,48712
79,48033.77
80,47935.11
81,47279.62
82,46509.41
83,46028.98
84,45985.41
85,45823.98
86,45515.71
87,45442.01
88,46208.27
89,45634.02
90,44920.79
91,44323
92,43375.37
93,42531.6
94,41667.25
95,40959.65
96,40152.63
97,39187.2
98,38760.91
99,38244.63
100,37866.17
101,37278.1
102,37124.11
103,36919.04
104,36632.62
105,36473.7
106,36341.37
107,36285.83
108,36283.54
109,36213.17
110,36186.69
111,36345.31
112,36645.53
113,36755.42
114,36946.34
115,37164.18
116,37462.22
117,37472.17
118,37696.84
119,37974.41
120,38208.84
121,38328.03
122,38748.47
123,39446.22
124,40441.89
125,41048.36
126,41801.99
127,43016.64
128,44055.41
129,44954.96
130,45554.16
131,46569.08
132,47877.01
133,48662.78
134,49582.84
135,50206.61
136,51023.05
137,51345.63
138,51717.8
139,51985.44
140,52606.93
141,53178.23
142,53732.78
143,53938.45
144,53942.92
145,53885.91
146,54061.41
147,53743.06
148,53489.63
149,53137.81
150,52992.04
151,52767.26
152,52784.07
153,52738.76
154,52524.26
155,52402.55
156,52667.1
157,52687.31
158,52760.17
159,52884.9
160,53540.51
161,54014.77
162,54781.77
163,55814.65
164,56775.7
165,57376.95
166,57838.57
167,58158.26
168,58273
169,58223.44
170,57913.61
171,57422.03
172,57376.38
173,56739.13
174,56368.12
175,55809.62
176,54672.44
177,53509.77
178,52599.31
179,51716.48
180,51220.28
181,51013.54
182,50451.46
183,50308.13
184,50785.36
185,50327.17
186,49710.87
187,49027.81
188,48337.82
189,47675.9
190,46775.43
191,45891.8
192,45163.93
193,44315
194,43368.96
195,42722.68
196,41988.28
197,41598.76
198,41041.34
199,40703.09
200,40574.02
201,40239.51
202,40007.43
203,39943.07
204,39776
205,39780.97
206,39802.75
207,39572.09
208,39686.25
209,39637.21
210,39777.49
211,39577.69
212,39629.71
213,39327.43
214,39081.94
215,38733.78
216,38262.38
217,38446.15
218,38696.71
219,39037.47
220,39385.11
221,39664.85
222,40564.27
223,41252.07
224,41865.46
225,42490.19
226,43003.18
227,43670.67
228,44775.86
229,45530.79
230,46414.33
231,47102.46
232,47933.88
233,48627.91
234,49173.1
235,50047.47
236,50664.2
237,51559.4
238,52433.59
239,52417.87
240,52324
241,52151.85
242,51749.29
243,51194.04
244,50839.94
245,50439.87
246,50279.01
247,49646.87
248,49521.4
249,49203.14
250,48854.93
251,48411.56
252,48875.21
253,48839.37
254,49115.99
255,49164.41
256,49568.2
257,50166.91
258,51237.96
259,52549.19
260,53913.9
261,54281.55
262,55094.16
263,55506.21
264,56007.21
265,55739.13
266,55561.33
267,55464.32
268,55286.71
269,54775.56
270,54249.99
271,53874.7
272,53731.41
273,52848.92
274,51979.46
275,51112.47
276,51335.99
277,51053.82
278,50636.63
279,50818.82
280,51667.61
281,51031.33
282,49988.59
283,49312.72
284,48593.77
285,48134.16
286,47281.81
287,46184.1
288,45873.18
289,45004.68
290,44452.14
291,44087.25
292,43462.89
293,43248.51
294,42967.61
295,42502.14
296,42176.2
297,41898.5
298,41857.09
299,41871.29
300,41854.44
301,41884.72
302,41882.32
303,42082.22
304,42707.48
305,43180.54
306,43498.86
307,44038.43
308,45145.99
309,45704.78
310,46819.21
311,47873.32
312,49927.38
313,51938.32
314,53399.04
315,54356.23
316,56357.51
317,57801
318,59213.04
319,60448.59
320,61278.18
321,61957.55
322,62205.89
323,62641.94
324,62886.03
325,63318.11
326,63709.57
327,63912.99
328,64209.27
329,64364.17
330,64499.31
331,64917.74
332,65053.65
333,65877.25
334,66274.16
335,66408.42
336,66227.79
337,66119.64
338,65990.94
339,65942.77
340,65779.17
341,65527.94
342,65050.33
343,64509.27
344,64367.15
345,64066.21
346,63877.96
347,63745.77
348,63819.36
349,63416.44
350,63247.71
351,63064.64
352,63181.98
353,63683.31
354,64528.23
355,65765.91
356,66805.7
357,67489.88
358,67977.37
359,68138.56
360,67861.84
361,67639.27
362,67484.63
363,67478.14
364,66999.68
365,66212.28
366,65291.96
367,64693.46
368,63515.89
369,61997.59
370,60810.04
371,59995.48
372,59492.77
373,58955.61
374,58391.47
375,57593.62
376,57744.43
377,57078.1
378,56032.07
379,55046.99
380,53818.7
381,52783.66
382,51952.09
383,51249.34
384,50457.2
385,49673.29
386,49086.36
387,48449.63
388,47918.25
389,47390.41
390,47030.86
391,46976.34
392,46463.33
393,46214.99
394,46133.12
395,46407.39
396,46473.78
397,46534.31
398,46837.63
399,46939.44
400,47152.42
401,47149.23
402,47516.1
403,47644.68
404,48938.81
405,49436.96
406,50060.57
407,51053.68
408,52678.39
409,54578.16
410,56254.52
411,57486.63
412,59234.04
413,60474.15
414,61637.52
415,62730.81
416,63534.85
417,63833.92
418,64217.79
419,64562.58
420,64432.35
421,64541.06
422,65015.91
423,65426.21
424,65828.17
425,65830.8
426,66176.3
427,66523.5
428,66837.89
429,67016.94
430,67533.39
431,67410.65
432,67404.26
433,67110.4
434,67087.71
435,67038.61
436,66939.32
437,66441.48
438,66067.81
439,65372.24
440,65524.71
441,65337.79
442,65349.91
443,65168.22
444,65295.72
445,65096.41
446,65051.28
447,64963.46
448,65163.05
449,65432.96
450,66329.4
451,67186.16
452,68034.46
453,68476.75
454,68620.44
455,68743.13
456,68544.9
457,68453.88
458,68305.02
459,67990.91
460,67569.68
461,66869.19
462,66407.31
463,65974.62
464,64571.58
465,62889.45
466,62231.23
467,61221.07
468,60499.58
469,59760.18
470,58888.31
471,58103.59
472,58110.47
473,57321.89
474,56156.44
475,54994.64
476,53872.52
477,53051.93
478,51995.37
479,51060.28
480,50456.24
481,49851.6
482,49354.12
483,48640
484,47935.25
485,47700.37
486,47287.61
487,46966.65
488,46549.41
489,46275.17
490,46448
491,46479.26
492,46373.41
493,46376.97
494,46560.03
495,46554.96
496,46867.44
497,46916.1
498,47323.93
499,47574.04
500,48360.13
501,48478.15
502,48953.11
503,49102.52
504,50406.73
505,51708.61
506,52978
507,54095.75
508,55703.48
509,56855.37
510,57897.78
511,58846.85
512,59731.49
513,60159.16
514,60332.34
515,60408.02
516,60572.71
517,61060.98
518,61317.15
519,61620.25
520,61932.68
521,62380.84
522,62726.21
523,63332.56
524,63697.09
525,64241.3
526,64745
527,64832.84
528,64218.45
529,64313.16
530,64234.14
531,63924.52
532,63545.33
533,63107.77
534,62660.03
535,62036.49
536,61777.47
537,61770.05
538,61582.47
539,61205.89
540,61243.06
541,61074.28
542,61039.14
543,61117.22
544,61663.34
545,62279.92
546,62369.71
547,62480.21
548,63363.72
549,63527.01
550,65083.42
551,65947.23
552,66004.04
553,65879.52
554,65519.96
555,65280.21
556,64976.48
557,64478.15
558,63814.1
559,63144.62
560,62135.83
561,60965.91
562,59944.33
563,59147.33
564,58657.48
565,58002.36
566,57490.04
567,57089.79
568,57162.38
569,56539.44
570,55551.11
571,54459.3
572,53510.57
573,52491.16
574,51543.95
575,50533.09
576,50061.02
577,49397.2
578,48701.47
579,48217.02
580,47537.31
581,47118.8
582,46956.8
583,46835.37
584,46215.85
585,46086.96
586,45944.12
587,45856.43
588,46051.77
589,46071.86
590,46111.6
591,46427.97
592,46915.57
593,47462.33
594,47697.11
595,48369.64
596,49522.25
597,50262.14
598,51443.35
599,52755.97
600,55497.73
601,57523.13
602,59586.12
603,61745.42
604,63501.49
605,64587.84
606,65625.33
607,66374.37
608,67219.81
609,67580.75
610,67638.17
611,67493.17
612,67452.17
613,67462.68
614,67632.06
615,67943.9
616,67919.44
617,67996.27
618,68250.43
619,68285.98
620,68878.23
