,Import,Export
2018-01-01 00:00:00,917.0,15850.0
2018-01-01 00:15:00,917.0,15850.0
2018-01-01 00:30:00,917.0,15850.0
2018-01-01 00:45:00,917.0,15850.0
2018-01-01 01:00:00,834.0,16679.0
2018-01-01 01:15:00,834.0,16679.0
2018-01-01 01:30:00,834.0,16679.0
2018-01-01 01:45:00,834.0,16679.0
2018-01-01 02:00:00,742.0,17018.0
2018-01-01 02:15:00,742.0,17018.0
2018-01-01 02:30:00,742.0,17018.0
2018-01-01 02:45:00,742.0,17018.0
2018-01-01 03:00:00,841.0,17203.0
2018-01-01 03:15:00,841.0,17203.0
2018-01-01 03:30:00,841.0,17203.0
2018-01-01 03:45:00,841.0,17203.0
2018-01-01 04:00:00,1580.0,17223.0
2018-01-01 04:15:00,1580.0,17223.0
2018-01-01 04:30:00,1580.0,17223.0
2018-01-01 04:45:00,1580.0,17223.0
2018-01-01 05:00:00,786.0,16371.0
2018-01-01 05:15:00,786.0,16371.0
2018-01-01 05:30:00,786.0,16371.0
2018-01-01 05:45:00,786.0,16371.0
2018-01-01 06:00:00,409.0,16078.0
2018-01-01 06:15:00,409.0,16078.0
2018-01-01 06:30:00,409.0,16078.0
2018-01-01 06:45:00,409.0,16078.0
2018-01-01 07:00:00,300.0,14630.0
2018-01-01 07:15:00,300.0,14630.0
2018-01-01 07:30:00,300.0,14630.0
2018-01-01 07:45:00,300.0,14630.0
2018-01-01 08:00:00,245.0,13630.0
2018-01-01 08:15:00,245.0,13630.0
2018-01-01 08:30:00,245.0,13630.0
2018-01-01 08:45:00,245.0,13630.0
2018-01-01 09:00:00,187.0,13902.0
2018-01-01 09:15:00,187.0,13902.0
2018-01-01 09:30:00,187.0,13902.0
2018-01-01 09:45:00,187.0,13902.0
2018-01-01 10:00:00,160.0,15552.0
2018-01-01 10:15:00,160.0,15552.0
2018-01-01 10:30:00,160.0,15552.0
2018-01-01 10:45:00,160.0,15552.0
2018-01-01 11:00:00,380.0,16498.0
2018-01-01 11:15:00,380.0,16498.0
2018-01-01 11:30:00,380.0,16498.0
2018-01-01 11:45:00,380.0,16498.0
2018-01-01 12:00:00,541.0,17249.0
2018-01-01 12:15:00,541.0,17249.0
2018-01-01 12:30:00,541.0,17249.0
2018-01-01 12:45:00,541.0,17249.0
2018-01-01 13:00:00,719.0,16999.0
2018-01-01 13:15:00,719.0,16999.0
2018-01-01 13:30:00,719.0,16999.0
2018-01-01 13:45:00,719.0,16999.0
2018-01-01 14:00:00,1766.0,13105.0
2018-01-01 14:15:00,1766.0,13105.0
2018-01-01 14:30:00,1766.0,13105.0
2018-01-01 14:45:00,1766.0,13105.0
2018-01-01 15:00:00,2120.0,10374.0
2018-01-01 15:15:00,2120.0,10374.0
2018-01-01 15:30:00,2120.0,10374.0
2018-01-01 15:45:00,2120.0,10374.0
2018-01-01 16:00:00,3698.0,11457.0
2018-01-01 16:15:00,3698.0,11457.0
2018-01-01 16:30:00,3698.0,11457.0
2018-01-01 16:45:00,3698.0,11457.0
2018-01-01 17:00:00,5863.0,12228.0
2018-01-01 17:15:00,5863.0,12228.0
2018-01-01 17:30:00,5863.0,12228.0
2018-01-01 17:45:00,5863.0,12228.0
2018-01-01 18:00:00,6192.0,13843.0
2018-01-01 18:15:00,6192.0,13843.0
2018-01-01 18:30:00,6192.0,13843.0
2018-01-01 18:45:00,6192.0,13843.0
2018-01-01 19:00:00,2488.0,10509.0
2018-01-01 19:15:00,2488.0,10509.0
2018-01-01 19:30:00,2488.0,10509.0
2018-01-01 19:45:00,2488.0,10509.0
2018-01-01 20:00:00,2807.0,11813.0
2018-01-01 20:15:00,2807.0,11813.0
2018-01-01 20:30:00,2807.0,11813.0
2018-01-01 20:45:00,2807.0,11813.0
2018-01-01 21:00:00,3001.0,13611.0
2018-01-01 21:15:00,3001.0,13611.0
2018-01-01 21:30:00,3001.0,13611.0
2018-01-01 21:45:00,3001.0,13611.0
2018-01-01 22:00:00,3922.0,12943.0
2018-01-01 22:15:00,3922.0,12943.0
2018-01-01 22:30:00,3922.0,12943.0
2018-01-01 22:45:00,3922.0,12943.0
2018-01-01 23:00:00,3782.0,11895.0
2018-01-01 23:15:00,3782.0,11895.0
2018-01-01 23:30:00,3782.0,11895.0
