tick,SH,HH,NI,HB,NW,HE,RP,BW,BY,SL,BE,BB,MV,SN,ST,TH
0,0.155,0.1595,0.1578,0.1635,0.1839,0.1751,0.1966,0.2103,0.2105,0.2136,0.1724,0.1371,0.1603,0.1603,0.1443,0.1988
1,0.155,0.1595,0.1578,0.1635,0.1839,0.1751,0.1966,0.2103,0.2105,0.2136,0.1724,0.1371,0.1603,0.1603,0.1443,0.1988
2,0.155,0.1595,0.1578,0.1635,0.1839,0.1751,0.1966,0.2103,0.2105,0.2136,0.1724,0.1371,0.1603,0.1603,0.1443,0.1988
3,0.155,0.1595,0.1578,0.1635,0.1839,0.1751,0.1966,0.2103,0.2105,0.2136,0.1724,0.1371,0.1603,0.1603,0.1443,0.1988
4,0.1685,0.178,0.1713,0.1797,0.202,0.1912,0.2045,0.2199,0.2199,0.2214,0.1945,0.1496,0.1761,0.1765,0.1572,0.2073
5,0.1685,0.178,0.1713,0.1797,0.202,0.1912,0.2045,0.2199,0.2199,0.2214,0.1945,0.1496,0.1761,0.1765,0.1572,0.2073
6,0.1685,0.178,0.1713,0.1797,0.202,0.1912,0.2045,0.2199,0.2199,0.2214,0.1945,0.1496,0.1761,0.1765,0.1572,0.2073
7,0.1685,0.178,0.1713,0.1797,0.202,0.1912,0.2045,0.2199,0.2199,0.2214,0.1945,0.1496,0.1761,0.1765,0.1572,0.2073
8,0.1711,0.1696,0.1746,0.1763,0.1998,0.191,0.2117,0.2269,0.2269,0.23,0.1821,0.1526,0.1773,0.175,0.1585,0.2144
9,0.1711,0.1696,0.1746,0.1763,0.1998,0.191,0.2117,0.2269,0.2269,0.23,0.1821,0.1526,0.1773,0.175,0.1585,0.2144
10,0.1711,0.1696,0.1746,0.1763,0.1998,0.191,0.2117,0.2269,0.2269,0.23,0.1821,0.1526,0.1773,0.175,0.1585,0.2144
11,0.1711,0.1696,0.1746,0.1763,0.1998,0.191,0.2117,0.2269,0.2269,0.23,0.1821,0.1526,0.1773,0.175,0.1585,0.2144
12,0.2015,0.1942,0.206,0.2045,0.2327,0.2234,0.2303,0.2468,0.2469,0.2502,0.2069,0.1802,0.2084,0.2043,0.1863,0.2334
13,0.2015,0.1942,0.206,0.2045,0.2327,0.2234,0.2303,0.2468,0.2469,0.2502,0.2069,0.1802,0.2084,0.2043,0.1863,0.2334
14,0.2015,0.1942,0.206,0.2045,0.2327,0.2234,0.2303,0.2468,0.2469,0.2502,0.2069,0.1802,0.2084,0.2043,0.1863,0.2334
15,0.2015,0.1942,0.206,0.2045,0.2327,0.2234,0.2303,0.2468,0.2469,0.2502,0.2069,0.1802,0.2084,0.2043,0.1863,0.2334
