,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
0,5908,480,0,1376,4864
1,5900,484,0,1360,4872
2,6116,524,0,1356,4860
3,6244,640,0,1352,4852
4,6064,880,0,1376,4852
5,5724,1148,0,1356,4832
6,5752,1244,0,1352,4844
7,5776,1372,0,1352,4848
8,5752,1528,0,1420,4848
9,5700,1656,0,1368,4840
10,5740,1680,0,1376,4844
11,5660,1776,0,1376,4836
12,5472,1896,0,1432,4848
13,5336,2068,0,1368,4840
14,5336,2116,0,1368,4852
15,5420,2152,0,1356,4836
16,5396,2248,0,1356,4836
17,5320,2332,0,1328,4832
18,5428,2316,0,1324,4828
19,5488,2272,0,1324,4832
20,5488,2252,0,1324,4828
21,5484,2204,0,1324,4836
22,5604,2132,0,1324,4824
23,5608,2052,0,1328,4820
24,5648,1936,0,1340,4828
25,5496,1884,0,1336,4808
26,5428,1944,0,1340,4816
27,5340,2004,0,1340,4812
28,5304,2084,0,1340,4844
29,5264,2132,0,1348,4836
30,5116,2164,0,1332,4840
31,5012,2228,0,1316,4836
32,4944,2240,8,1316,4848
33,5012,2260,104,1312,4844
34,4996,2304,420,1324,4848
35,4964,2312,972,1336,4852
36,5012,2320,1724,1360,4836
37,4964,2300,2640,1332,4836
38,4916,2324,3544,1328,4832
39,4988,2400,4528,1336,4868
40,4852,2504,5464,1332,4868
41,4820,2520,6356,1332,4852
42,4660,2568,7192,1400,4852
43,4556,2568,8072,1420,4860
44,4536,2600,8812,1376,4872
45,4432,2652,9468,1404,4856
46,4420,2776,10068,1336,4852
47,4324,2948,10492,1332,4832
48,3800,3120,10888,1400,4820
49,3952,3304,11044,1348,4820
50,3928,3416,11240,1364,4824
51,3892,3576,11092,1364,4832
52,4088,3632,10900,1440,4856
53,4152,3636,10472,1376,4880
54,4228,3660,10012,1372,4872
55,4152,3536,9324,1376,4868
56,4064,3424,8552,1376,4884
57,4056,3316,7612,1380,4896
58,3976,3276,6556,1400,4900
59,3944,3276,5384,1392,4912
60,4004,3196,4220,1368,4892
61,4120,3000,3004,1380,4868
62,4292,2860,1920,1392,4868
63,4408,2816,1000,1384,4848
64,4756,2788,392,1368,4852
65,5220,2876,92,1360,4848
66,5572,3064,4,1368,4860
67,5900,3184,4,1380,4868
68,6244,3356,0,1372,4860
69,6484,3600,0,1380,4860
70,6756,3940,0,1376,4856
71,7044,4080,0,1384,4872
72,7364,4148,0,1364,4884
73,7736,4368,0,1364,4880
74,8020,4540,0,1356,4900
75,8224,4724,0,1356,4904
76,8544,4752,0,1368,4896
77,8584,4736,0,1344,4880
78,8728,4680,0,1336,4876
79,9076,4640,0,1336,4892
80,9164,4628,0,1352,4896
81,9316,4472,0,1340,4888
82,9680,4336,0,1336,4900
83,9768,4168,0,1332,4888
84,10004,4020,0,1356,4904
85,10016,4020,0,1340,4904
86,10068,3972,0,1344,4916
87,9876,4056,0,1336,4892
88,9516,3860,0,1456,4900
89,9068,3704,0,1380,4900
90,8660,3736,0,1444,4912
91,8484,3752,0,1352,4904
92,8488,3744,0,1344,4892
93,8592,3788,0,1344,4884
94,8368,3812,0,1328,4876
