tick,price
0,41.88
1,41.06
2,40.24
3,39.42
4,38.6
5,38.0875
6,37.575
7,37.0625
8,36.55
9,35.4925
10,34.435
11,33.3775
12,32.32
13,31.9525
14,31.585
15,31.2175
16,30.85
17,30.6725
18,30.495
19,30.3175
20,30.14
21,30.1475
22,30.155
23,30.1625
24,30.17
25,30.1275
26,30.085
27,30.0425
28,30
29,30.1625
30,30.325
31,30.4875
32,30.65
33,30.65
34,30.65
35,30.65
36,30.65
37,30.555
38,30.46
39,30.365
40,30.27
41,30.2875
42,30.305
43,30.3225
44,30.34
45,30.5025
46,30.665
47,30.8275
48,30.99
49,30.7525
50,30.515
51,30.2775
52,30.04
53,30.2175
54,30.395
55,30.5725
56,30.75
57,31.09
58,31.43
59,31.77
60,32.11
61,33.0775
62,34.045
63,35.0125
64,35.98
65,37.085
66,38.19
67,39.295
68,40.4
69,41.3125
70,42.225
71,43.1375
72,44.05
73,43.825
74,43.6
75,43.375
76,43.15
77,43.225
78,43.3
79,43.375
80,43.45
81,42.7575
82,42.065
83,41.3725
84,40.68
85,40.5775
86,40.475
87,40.3725
88,40.27
89,38.915
90,37.56
91,36.205
92,34.85
93,34.9875
94,35.125
95,35.2625
96,35.4
97,34.545
98,33.69
99,32.835
100,31.98
101,31.61
102,31.24
103,30.87
104,30.5
105,30.0725
106,29.645
107,29.2175
108,28.79
109,28.6975
110,28.605
111,28.5125
112,28.42
113,28.5025
114,28.585
115,28.6675
116,28.75
117,30.1025
118,31.455
119,32.8075
120,34.16
121,36.1375
122,38.115
123,40.0925
124,42.07
125,42.775
126,43.48
127,44.185
128,44.89
129,44.9825
130,45.075
131,45.1675
132,45.26
133,45.3375
134,45.415
135,45.4925
136,45.57
137,45.45
138,45.33
139,45.21
140,45.09
141,45.1075
142,45.125
143,45.1425
144,45.16
145,45.095
146,45.03
147,44.965
148,44.9
149,44.69
150,44.48
151,44.27
152,44.06
153,44.255
154,44.45
155,44.645
156,44.84
157,44.73
158,44.62
159,44.51
160,44.4
161,44.8125
162,45.225
163,45.6375
164,46.05
165,46.2175
166,46.385
167,46.5525
168,46.72
169,46.355
170,45.99
171,45.625
172,45.26
173,43.775
174,42.29
175,40.805
176,39.32
177,38.005
178,36.69
179,35.375
180,34.06
181,33.6
182,33.14
183,32.68
184,32.22
185,30.4125
186,28.605
187,26.7975
188,24.99
189,24.11
190,23.23
191,22.35
192,21.47
193,19.3625
194,17.255
195,15.1475
196,13.04
197,10.1625
198,7.285
199,4.4075
200,1.53
201,1.1825
202,0.835
203,0.4875
204,0.14
205,0.3175
206,0.495
207,0.6725
208,0.85
209,3.1175
210,5.385
211,7.6525
212,9.92
213,13.56
214,17.2
215,20.84
216,24.48
