,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
0,2.1271.102,1.926594,92,16
1,2.1271.102,1.926594,356,0
2,2.1271.102,1.926594,56,4
3,2.1271.102,1.926594,8,12
4,2.1271.102,1.926594,84,4
5,2.1271.102,1.926594,4,4
6,2.1271.102,1.926594,4,4
7,2.1271.102,1.926594,4,16
8,2.1271.102,1.926594,212,4
9,2.1271.102,1.926594,56,4
10,2.1271.102,1.926594,12,4
11,2.1271.102,1.926594,0,56
12,2.1271.102,1.926594,0,108
13,2.1271.102,1.926594,0,148
14,2.1271.102,1.926594,0,92
15,2.1271.102,1.926594,0,408
16,--,--,4,112
17,--,--,0,128
18,--,--,0,16
19,--,--,4,44
20,--,--,4,12
21,--,--,4,4
22,--,--,24,4
23,--,--,36,4
24,--,--,0,300
25,--,--,0,144
26,--,--,0,284
27,--,--,0,484
28,--,--,0,204
29,--,--,0,296
30,--,--,0,132
31,--,--,0,336
32,--,--,4,304
33,--,--,0,64
34,--,--,0,380
35,--,--,0,464
36,--,--,0,800
37,--,--,0,832
38,--,--,0,584
39,--,--,0,528
40,--,--,0,648
41,--,--,0,604
42,--,--,0,468
43,--,--,0,492
44,--,--,0,468
45,--,--,0,652
46,--,--,0,720
47,--,--,0,372
48,--,--,4,316
49,--,--,0,364
50,--,--,4,264
51,--,--,0,132
52,--,--,4,64
53,--,--,0,520
54,--,--,0,440
55,--,--,0,160
56,--,--,0,296
57,--,--,0,16
58,--,--,4,4
59,--,--,0,24
60,--,--,0,260
61,--,--,4,40
62,--,--,0,60
63,--,--,0,272
64,--,--,0,508
65,--,--,4,176
66,--,--,0,40
67,--,--,4,4
68,--,--,8,32
69,--,--,0,56
70,--,--,4,128
71,--,--,0,96
72,--,--,0,44
73,--,--,28,12
74,--,--,0,68
75,--,--,0,124
76,--,--,0,236
77,--,--,4,168
78,--,--,4,152
79,--,--,0,428
80,--,--,8,44
81,--,--,8,56
82,--,--,4,100
83,--,--,0,188
84,--,--,112,52
85,--,--,28,16
86,--,--,0,24
87,--,--,0,244
88,--,--,4,80
89,--,--,12,40
90,--,--,12,24
91,--,--,0,100
92,--,--,12,8
93,--,--,0,156
94,--,--,72,76
95,--,--,0,280
96,--,--,0,412
97,--,--,0,1344
98,--,--,0,1500
99,--,--,0,1136
100,--,--,56,724
101,--,--,0,800
102,--,--,0,996
103,--,--,4,52
104,--,--,140,88
105,--,--,0,224
106,--,--,4,36
107,--,--,8,4
108,--,--,8,20
109,--,--,0,40
110,--,--,0,244
111,--,--,0,72
112,--,--,4,64
113,--,--,0,112
114,--,--,0,292
115,--,--,0,76
116,--,--,0,420
117,--,--,0,560
118,--,--,0,164
119,--,--,4,4
120,--,--,12,20
121,--,--,8,4
122,--,--,12,36
123,--,--,0,8
124,--,--,4,4
125,--,--,4,4
126,--,--,4,36
127,--,--,0,248
128,--,--,4,700
129,--,--,4,352
130,--,--,0,116
131,--,--,0,240
132,--,--,4,144
133,--,--,4,20
134,--,--,4,4
135,--,--,12,4
136,--,--,0,420
137,--,--,0,308
138,--,--,28,36
139,--,--,4,72
140,--,--,8,28
141,--,--,4,140
142,--,--,0,168
143,--,--,12,288
144,--,--,56,136
145,--,--,0,116
146,--,--,340,12
147,--,--,192,20
148,--,--,52,224
149,--,--,0,372
150,--,--,0,280
151,--,--,8,280
152,--,--,8,144
153,--,--,40,92
154,--,--,104,48
155,--,--,36,24
156,--,--,0,36
157,--,--,0,84
158,--,--,0,96
159,--,--,16,8
160,--,--,0,236
161,--,--,0,152
162,--,--,4,48
163,--,--,4,52
164,--,--,24,16
165,--,--,36,8
166,--,--,116,8
167,--,--,16,64
168,--,--,16,116
169,--,--,0,92
170,--,--,0,100
171,--,--,28,24
172,--,--,8,100
173,--,--,4,60
174,--,--,0,8
175,--,--,4,4
176,--,--,4,12
177,--,--,0,116
178,--,--,4,16
179,--,--,8,20
180,--,--,84,44
181,--,--,8,28
182,--,--,16,4
183,--,--,0,8
184,--,--,4,12
185,--,--,0,4
186,--,--,460,4
187,--,--,4,4
188,--,--,4,20
189,--,--,0,208
190,--,--,4,128
191,--,--,4,252
192,1.894582,1.922513,4,384
193,1.894582,1.922513,0,400
194,1.894582,1.922513,0,220
195,1.894582,1.922513,0,436
196,1.894582,1.922513,0,268
197,1.894582,1.922513,4,28
198,1.894582,1.922513,0,4
199,1.894582,1.922513,0,328
