tick;SH;HH;NI;HB;NW;HE;RP;BW;BY;SL;BE;BB;MV;SN;ST;TH
0;1,51351E-05;1,40114E-05;1,4387E-05;1,43545E-05;1,45317E-05;1,85085E-05;1,86398E-05;2,01446E-05;2,25399E-05;1,8828E-05;1,45284E-05;1,45284E-05;1,54996E-05;1,56297E-05;1,46671E-05;1,78772E-05
1;1,51351E-05;1,40114E-05;1,4387E-05;1,43545E-05;1,45317E-05;1,85085E-05;1,86398E-05;2,01446E-05;2,25399E-05;1,8828E-05;1,45284E-05;1,45284E-05;1,54996E-05;1,56297E-05;1,46671E-05;1,78772E-05
2;1,51351E-05;1,40114E-05;1,4387E-05;1,43545E-05;1,45317E-05;1,85085E-05;1,86398E-05;2,01446E-05;2,25399E-05;1,8828E-05;1,45284E-05;1,45284E-05;1,54996E-05;1,56297E-05;1,46671E-05;1,78772E-05
3;1,51351E-05;1,40114E-05;1,4387E-05;1,43545E-05;1,45317E-05;1,85085E-05;1,86398E-05;2,01446E-05;2,25399E-05;1,8828E-05;1,45284E-05;1,45284E-05;1,54996E-05;1,56297E-05;1,46671E-05;1,78772E-05
4;1,85341E-05;1,71566E-05;1,7617E-05;1,75772E-05;1,77944E-05;2,09002E-05;2,10485E-05;2,27487E-05;2,5455E-05;2,12611E-05;1,77904E-05;1,77904E-05;1,89809E-05;1,91404E-05;1,79604E-05;2,01869E-05
5;1,85341E-05;1,71566E-05;1,7617E-05;1,75772E-05;1,77944E-05;2,09002E-05;2,10485E-05;2,27487E-05;2,5455E-05;2,12611E-05;1,77904E-05;1,77904E-05;1,89809E-05;1,91404E-05;1,79604E-05;2,01869E-05
6;1,85341E-05;1,71566E-05;1,7617E-05;1,75772E-05;1,77944E-05;2,09002E-05;2,10485E-05;2,27487E-05;2,5455E-05;2,12611E-05;1,77904E-05;1,77904E-05;1,89809E-05;1,91404E-05;1,79604E-05;2,01869E-05
7;1,85341E-05;1,71566E-05;1,7617E-05;1,75772E-05;1,77944E-05;2,09002E-05;2,10485E-05;2,27487E-05;2,5455E-05;2,12611E-05;1,77904E-05;1,77904E-05;1,89809E-05;1,91404E-05;1,79604E-05;2,01869E-05
8;1,92365E-05;1,78066E-05;1,82845E-05;1,82432E-05;1,84686E-05;2,02591E-05;2,04029E-05;2,20507E-05;2,46737E-05;2,0609E-05;1,84645E-05;1,84645E-05;1,97004E-05;1,9866E-05;1,8641E-05;1,95678E-05
9;1,92365E-05;1,78066E-05;1,82845E-05;1,82432E-05;1,84686E-05;2,02591E-05;2,04029E-05;2,20507E-05;2,46737E-05;2,0609E-05;1,84645E-05;1,84645E-05;1,97004E-05;1,9866E-05;1,8641E-05;1,95678E-05
