,demand
0,41204
1,40896
2,40688
3,39940
4,39872
5,38864
6,38280
7,37768
8,37712
9,37600
10,37212
11,36824
12,36816
13,36540
14,36672
15,36320
16,36300
17,36040
18,36448
19,36104
20,36628
21,36456
22,35856
23,35416
24,35068
25,35516
26,35268
27,35460
28,35784
29,36224
30,36416
31,36212
32,36704
33,36592
34,36764
35,37032
36,37828
37,39032
38,39620
39,39632
40,40580
41,40780
42,40816
43,41056
44,41408
45,41928
46,42432
47,42372
48,42180
49,42544
50,42940
51,42420
52,42164
53,41888
54,41708
55,41720
56,41524
57,41732
58,41704
59,41660
60,41936
61,42032
62,42576
63,42880
64,43852
65,44684
66,45784
67,46980
68,48224
69,48572
70,48708
71,48888
72,49072
73,49408
74,49212
75,48832
76,48612
77,48556
78,48208
79,47516
80,47496
81,47280
82,46668
83,46296
84,46516
85,46048
86,46008
87,45508
88,46296
89,45796
90,45164
91,44528
92,43988
93,42860
94,42440
95,41500
96,40628
97,40360
98,40376
99,39572
100,39048
101,38460
102,37980
103,38448
104,37656
105,37384
106,37508
107,37612
108,36552
109,36224
110,36452
111,36264
112,36408
113,35588
114,35696
115,36016
116,35932
117,35908
118,36348
119,36300
120,35580
121,36120
122,36304
123,36996
124,37444
125,37464
126,38152
127,38172
128,39212
129,40736
130,41448
131,41680
132,42564
133,43132
134,43748
135,43536
136,44104
137,44428
138,45284
139,45232
140,46424
141,47456
142,48052
143,47908
144,48608
145,48716
146,48988
147,48760
148,48856
149,48592
150,48820
151,48960
152,48464
153,48324
154,49224
155,48612
156,47860
157,48068
158,48376
159,49016
160,50184
161,49556
162,50844
163,51964
164,53960
165,54504
166,55164
167,55236
168,55136
169,55088
170,55160
171,54444
172,53916
173,53944
174,53192
175,52332
176,51524
177,50844
178,50512
179,49544
180,49024
181,48280
182,48060
183,47748
184,48180
185,47900
186,47144
187,45812
188,45068
189,44064
190,43520
191,43212
192,42512
193,41776
194,41756
195,41156
196,40832
197,41784
198,41180
199,40440
200,39860
201,40192
202,39636
203,39292
204,39348
205,39380
206,39448
207,39944
208,39752
209,40504
210,41388
211,42724
212,43516
213,43476
214,45232
215,46524
216,49476
217,50996
218,52596
219,54328
220,55604
221,57672
222,58848
223,59816
224,60820
225,60708
226,61352
227,62292
228,62648
229,62616
230,62440
231,62424
232,62848
233,63512
234,63872
235,64132
236,64220
237,65332
238,66040
239,66084
240,66904
241,67196
242,67128
243,66836
244,66904
245,66448
246,65756
247,65284
248,65260
249,65288
250,64724
251,64804
252,64760
253,64072
254,63460
255,62572
256,63188
257,63560
258,64496
259,64944
260,65496
261,65900
262,66496
263,66656
264,65864
265,65868
266,65848
267,65728
268,65492
269,65068
270,64280
271,63548
272,62360
273,61268
274,60216
275,59296
276,58488
277,57516
278,56472
279,55656
280,55680
281,54888
282,53844
283,52900
284,52220
285,50968
286,49860
287,49436
288,48280
289,47576
290,46756
291,46140
292,45392
293,45040
294,44904
295,44824
296,44540
297,44660
298,44632
299,44596
300,44896
301,44952
302,45200
303,45760
304,46040
305,46184
306,46908
307,47312
308,48252
309,49164
310,49912
311,51052
312,53056
313,54960
314,56020
315,57604
316,58856
317,59532
318,60592
319,61560
320,62656
321,63708
322,63836
323,64240
324,64808
325,65372
326,65292
327,65432
328,65300
329,65876
330,65820
331,66484
332,66852
333,67288
334,67656
335,67676
336,67560
337,67704
338,67964
339,67588
340,68044
341,67136
342,66536
343,66132
344,66000
345,65840
346,65744
347,65592
348,65192
349,65408
350,65172
351,65468
352,65428
353,65496
354,66248
355,66724
356,66632
357,66784
358,67876
359,68320
360,67880
361,67916
362,67512
363,67032
364,66672
365,66128
366,65752
367,65460
368,64312
369,63104
370,62416
371,61808
372,61616
373,60696
374,59740
375,58960
376,58616
377,57940
378,57036
379,55872
380,54868
381,53916
382,53168
383,52404
384,51460
385,50876
386,49896
387,49056
388,48744
389,48312
390,47848
391,47424
392,47172
393,47164
394,47380
395,47304
396,47732
397,47956
398,48320
399,48320
400,49212
401,49496
402,49924
403,50184
404,51308
405,51924
406,52932
407,53748
408,55656
409,57300
410,58492
411,59784
412,61000
413,61928
414,62952
415,63820
416,64584
417,64860
418,65332
419,65940
420,67512
421,67644
422,68060
423,67864
424,67872
425,67960
426,68548
427,68960
428,69636
429,70000
430,70388
431,70364
432,70464
433,70188
434,70244
435,70204
436,70516
437,70144
438,69292
439,68512
440,68480
441,68356
442,67932
443,67332
444,67468
445,66656
446,66192
447,66348
448,67188
449,68024
450,68700
451,69396
452,70036
453,69864
454,70344
455,70428
456,69528
457,69584
458,69688
459,69752
460,70044
461,69020
462,68580
463,67236
464,66448
465,65556
466,63964
467,63476
468,62448
469,61636
470,61128
471,60212
472,59128
473,58296
474,57400
475,56468
476,55404
477,54716
478,53636
479,52628
480,52344
481,52040
482,51616
483,51516
484,51044
485,50244
486,50252
487,49904
488,49200
489,49640
490,49980
491,50028
492,49628
493,49996
494,49848
495,49640
496,49360
497,49492
498,49684
499,50128
500,51060
501,51540
502,51924
503,52688
504,53820
505,55272
506,56260
507,57064
508,58088
509,59404
510,59980
511,60864
512,61552
513,61496
514,62216
515,62620
516,63168
517,63696
518,63564
519,63400
520,63500
521,63644
522,63880
523,63880
524,64104
525,64648
526,64800
527,64528
528,64336
529,64588
530,64260
531,63864
532,63456
533,63180
534,62896
535,62064
536,61900
537,61740
538,61544
539,61388
540,61036
541,60620
542,60472
543,60260
544,60388
545,60700
546,61268
547,62524
548,63892
549,64580
550,65208
551,65592
552,65624
553,65764
554,65664
555,65236
556,65148
557,65144
558,64780
559,64084
560,63280
561,62916
562,62096
563,61272
564,60552
565,60212
566,59804
567,59072
568,59512
569,59132
570,58476
571,57956
572,56952
573,56264
574,55036
575,54152
576,52344
577,51240
578,51024
579,50528
580,50268
581,49728
582,49768
583,49752
584,49460
585,49152
586,48808
587,48924
588,49360
589,49044
590,49396
591,49636
592,50428
593,50240
594,50632
595,50884
596,51604
597,51620
598,52664
599,53820
600,55388
601,56760
602,57924
603,58940
604,60648
605,62708
606,63844
607,64544
608,64960
609,65160
610,65984
611,66556
612,66772
613,67268
614,67528
615,68076
616,68200
617,68368
618,68560
619,69124
620,69312
621,69308
622,69724
623,69984
624,70496
