tick,demand
0,2000
1,2000
2,2000
3,2000
4,2000
5,2000
6,2000
7,2000
8,2000
9,2000
10,2000
11,2000
12,2000
13,2000
14,2000
15,2000
16,2000
17,2000
18,2000
19,2000
20,2000
21,2000
22,2000
23,2000
24,2000
25,2000
26,2000
27,2000
28,2000
29,2000
30,2000
31,2000
32,2000
33,2000
34,2000
35,2000
36,2000
37,2000
38,2000
39,2000
40,2000
41,2000
42,2000
43,2000
44,2000
45,2000
46,2000
47,2000
48,2000
49,2000
50,2000
51,2000
52,2000
53,2000
54,2000
55,2000
56,2000
57,2000
58,2000
59,2000
60,2000
61,2000
62,2000
63,2000
64,2000
65,2000
66,2000
67,2000
68,2000
69,2000
70,2000
71,2000
72,2000
73,2000
74,2000
75,2000
76,2000
77,2000
78,2000
79,2000
80,2000
81,2000
82,2000
83,2000
84,2000
85,2000
86,2000
87,2000
88,2000
89,2000
90,2000
91,2000
92,2000
93,2000
94,2000
95,2000
96,2000
97,2000
98,2000
99,2000
100,2000
101,2000
102,2000
103,2000
104,2000
105,2000
106,2000
107,2000
108,2000
109,2000
110,2000
111,2000
112,2000
113,2000
114,2000
115,2000
116,2000
117,2000
118,2000
119,2000
120,2000
121,2000
122,2000
123,2000
124,2000
125,2000
126,2000
127,2000
128,2000
129,2000
130,2000
131,2000
132,2000
133,2000
134,2000
135,2000
136,2000
137,2000
138,2000
139,2000
140,2000
141,2000
142,2000
143,2000
144,2000
145,2000
146,2000
147,2000
148,2000
149,2000
150,2000
151,2000
152,2000
153,2000
154,2000
155,2000
156,2000
157,2000
158,2000
159,2000
160,2000
161,2000
162,2000
163,2000
164,2000
165,2000
166,2000
167,2000
168,2000
169,2000
170,2000
171,2000
172,2000
173,2000
174,2000
175,2000
176,2000
177,2000
178,2000
179,2000
180,2000
181,2000
182,2000
183,2000
184,2000
185,2000
186,2000
187,2000
188,2000
189,2000
190,2000
191,2000
192,2000
193,2000
194,2000
195,2000
196,2000
197,2000
198,2000
199,2000
200,2000
201,2000
202,2000
203,2000
204,2000
205,2000
206,2000
207,2000
208,2000
209,2000
210,2000
211,2000
212,2000
213,2000
214,2000
215,2000
216,2000
217,2000
218,2000
219,2000
220,2000
221,2000
222,2000
223,2000
224,2000
225,2000
226,2000
227,2000
228,2000
229,2000
230,2000
231,2000
232,2000
233,2000
234,2000
235,2000
236,2000
237,2000
238,2000
239,2000
240,2000
241,2000
242,2000
243,2000
244,2000
245,2000
246,2000
247,2000
248,2000
249,2000
250,2000
251,2000
252,2000
253,2000
254,2000
255,2000
256,2000
257,2000
258,2000
259,2000
260,2000
261,2000
262,2000
263,2000
264,2000
265,2000
266,2000
267,2000
268,2000
269,2000
270,2000
271,2000
272,2000
273,2000
274,2000
275,2000
276,2000
277,2000
278,2000
279,2000
280,2000
281,2000
282,2000
283,2000
284,2000
285,2000
286,2000
287,2000
288,2000
289,2000
290,2000
291,2000
292,2000
293,2000
294,2000
295,2000
296,2000
297,2000
298,2000
299,2000
300,2000
301,2000
302,2000
303,2000
304,2000
305,2000
306,2000
307,2000
308,2000
309,2000
310,2000
311,2000
312,2000
313,2000
314,2000
315,2000
316,2000
317,2000
318,2000
319,2000
320,2000
321,2000
322,2000
323,2000
324,2000
325,2000
326,2000
327,2000
328,2000
329,2000
330,2000
331,2000
332,2000
333,2000
334,2000
335,2000
336,2000
337,2000
338,2000
339,2000
340,2000
341,2000
342,2000
343,2000
344,2000
345,2000
346,2000
347,2000
348,2000
349,2000
350,2000
351,2000
352,2000
353,2000
354,2000
355,2000
356,2000
357,2000
358,2000
359,2000
360,2000
361,2000
362,2000
363,2000
364,2000
365,2000
366,2000
367,2000
368,2000
369,2000
370,2000
371,2000
372,2000
373,2000
374,2000
375,2000
376,2000
377,2000
378,2000
379,2000
380,2000
381,2000
382,2000
383,2000
384,2000
385,2000
386,2000
387,2000
388,2000
389,2000
390,2000
391,2000
392,2000
393,2000
394,2000
395,2000
396,2000
397,2000
398,2000
399,2000
400,2000
401,2000
402,2000
403,2000
404,2000
405,2000
406,2000
407,2000
408,2000
409,2000
410,2000
411,2000
412,2000
413,2000
414,2000
415,2000
416,2000
417,2000
418,2000
419,2000
420,2000
421,2000
422,2000
423,2000
424,2000
425,2000
426,2000
427,2000
428,2000
429,2000
430,2000
431,2000
432,2000
433,2000
434,2000
435,2000
436,2000
437,2000
438,2000
439,2000
440,2000
441,2000
442,2000
443,2000
444,2000
445,2000
446,2000
447,2000
448,2000
449,2000
450,2000
451,2000
452,2000
453,2000
454,2000
455,2000
456,2000
457,2000
458,2000
459,2000
460,2000
461,2000
462,2000
463,2000
464,2000
465,2000
466,2000
467,2000
468,2000
469,2000
470,2000
471,2000
472,2000
473,2000
474,2000
475,2000
476,2000
477,2000
478,2000
479,2000
480,2000
481,2000
482,2000
483,2000
484,2000
485,2000
486,2000
487,2000
488,2000
489,2000
490,2000
491,2000
492,2000
493,2000
494,2000
495,2000
496,2000
497,2000
498,2000
499,2000
500,2000
501,2000
502,2000
503,2000
504,2000
505,2000
506,2000
507,2000
508,2000
509,2000
510,2000
511,2000
512,2000
513,2000
514,2000
515,2000
516,2000
517,2000
518,2000
519,2000
520,2000
521,2000
522,2000
523,2000
524,2000
525,2000
526,2000
527,2000
528,2000
529,2000
530,2000
531,2000
532,2000
533,2000
