name,bus,p_nom,sign,carrier,marginal_cost,efficiency,min_up_time,min_down_time,up_time_before,down_time_before
Solar_6,6,16.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_6_Cur,6,16.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_6,6,5.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_6_Cur,6,5.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_14,14,3.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_14_Cur,14,3.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_27,27,83.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_27_Cur,27,83.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_27,27,157.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_27_Cur,27,157.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_31,31,3.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_31_Cur,31,3.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_32,32,127.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_32_Cur,32,127.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_32,32,48.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_32_Cur,32,48.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_33,33,51.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_33_Cur,33,51.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_33,33,27.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_33_Cur,33,27.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_35,35,315.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_35_Cur,35,315.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_35,35,315.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_35_Cur,35,315.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_37,37,107.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_37_Cur,37,107.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_37,37,86.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_37_Cur,37,86.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_46,46,22.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_46_Cur,46,22.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_47,47,23.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_47_Cur,47,23.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_49,49,567.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_49_Cur,49,567.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_49,49,44.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_49_Cur,49,44.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_55,55,35.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_55_Cur,55,35.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_55,55,76.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_55_Cur,55,76.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_56,56,136.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_56_Cur,56,136.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_56,56,418.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_56_Cur,56,418.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_57,57,430.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_57_Cur,57,430.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_57,57,405.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_57_Cur,57,405.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_58,58,79.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_58_Cur,58,79.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_59,59,71.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_59_Cur,59,71.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_61,61,229.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_61_Cur,61,229.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_61,61,601.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_61_Cur,61,601.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_62,62,57.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_62_Cur,62,57.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_62,62,18.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_62_Cur,62,18.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_65,65,97.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_65_Cur,65,97.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_65,65,155.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_65_Cur,65,155.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_67,67,47.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_67_Cur,67,47.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_67,67,14.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_67_Cur,67,14.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_68,68,162.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_68_Cur,68,162.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_68,68,135.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_68_Cur,68,135.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_71,71,73.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_71_Cur,71,73.0,-1.0,PV,1000.0,1.0,0,0,1,0
OnShore_71,71,6.0,1.0,Wind Onshore,0.0,1.0,0,0,1,0
OnShore_71_Cur,71,6.0,-1.0,Wind Onshore,1000.0,1.0,0,0,1,0
Solar_72,72,60.0,1.0,PV,0.0,1.0,0,0,1,0
Solar_72_Cur,72,60.0,-1.0,PV,1000.0,1.0,0,0,1,0
Solar_73,73,103.0,1.0,PV,0.0,1.0,0,0,1,0
