tick,demand
0,400
1,450
2,500
3,550
4,600
5,650
6,700
7,750
8,800
9,850
10,900
11,950
12,1000
13,1050
14,1100
15,1150
16,1200
17,1250
18,1300
19,1350
20,1400
21,1450
22,1500
23,1550
24,1600
25,1650
26,1700
27,1750
28,1800
29,1850
30,1900
31,1950
32,2000
33,2050
34,2100
35,2150
36,2200
37,2250
38,2300
39,2350
40,2400
41,2450
42,2500
43,2550
44,2600
45,2650
46,2700
47,2750
48,2800
49,2750
50,2700
51,2650
52,2600
53,2550
54,2500
55,2450
56,2400
57,2350
58,2300
59,2250
60,2200
61,2150
62,2100
63,2050
64,2000
65,1950
66,1900
67,1850
68,1800
69,1750
70,1700
71,1650
72,1600
73,1550
74,1500
75,1450
76,1400
77,1350
78,1300
79,1250
80,1200
81,1150
82,1100
83,1050
84,1000
85,950
86,900
87,850
88,800
89,750
90,700
91,650
92,600
93,550
94,500
95,450
96,400
97,800
98,800
99,800
100,800
101,800
102,800
103,800
104,800
105,800
106,800
107,800
108,800
109,800
110,800
111,800
112,800
113,800
114,800
115,800
116,800
117,800
118,800
119,800
120,800
121,800
122,800
123,800
124,800
125,800
126,800
127,800
128,800
129,800
130,800
131,800
132,800
133,800
134,800
135,800
136,800
137,800
138,800
139,800
140,800
141,800
142,800
143,800
144,800
145,800
146,800
147,800
148,800
149,800
150,800
151,800
152,800
153,800
154,800
155,800
156,800
157,800
158,800
159,800
160,800
161,800
162,800
163,800
164,800
165,800
166,800
167,800
168,800
169,800
170,800
171,800
172,800
173,800
174,800
175,800
176,800
177,800
178,800
179,800
180,800
181,800
182,800
183,800
184,800
185,800
186,800
187,800
188,800
189,800
190,800
191,800
192,800
193,800
194,800
195,800
196,800
197,800
198,800
199,800
200,800
201,800
202,800
203,800
204,800
205,800
206,800
207,800
208,800
209,800
210,800
211,800
212,800
213,800
214,800
215,800
216,800
217,800
218,800
219,800
220,800
221,800
222,800
223,800
224,800
225,800
226,800
227,800
228,800
229,800
230,800
231,800
232,800
233,800
234,800
235,800
236,800
237,800
238,800
239,800
240,800
241,800
242,800
243,800
244,800
245,800
246,800
247,800
248,800
249,800
250,800
251,800
252,800
253,800
254,800
255,800
256,800
257,800
258,800
259,800
260,800
261,800
262,800
263,800
264,800
265,800
266,800
267,800
268,800
269,800
270,800
271,800
272,800
273,800
274,800
275,800
276,800
277,800
278,800
279,800
280,800
281,800
282,800
283,800
284,800
285,800
286,800
287,800
288,800
289,800
290,800
291,800
292,800
293,800
294,800
295,800
296,800
297,800
298,800
299,800
300,800
301,800
302,800
303,800
304,800
305,800
306,800
307,800
308,800
309,800
310,800
311,800
312,800
313,800
314,800
315,800
316,800
317,800
318,800
319,800
320,800
321,800
322,800
323,800
324,800
325,800
326,800
327,800
328,800
329,800
330,800
331,800
332,800
333,800
334,800
335,800
336,800
337,800
338,800
339,800
340,800
341,800
342,800
343,800
344,800
345,800
346,800
347,800
348,800
349,800
350,800
351,800
352,800
353,800
354,800
355,800
356,800
357,800
358,800
359,800
360,800
361,800
362,800
363,800
364,800
365,800
366,800
367,800
368,800
369,800
370,800
371,800
372,800
373,800
374,800
375,800
376,800
377,800
378,800
379,800
380,800
381,800
382,800
383,800
384,800
385,800
386,800
387,800
388,800
389,800
390,800
391,800
392,800
393,800
394,800
395,800
396,800
397,800
398,800
399,800
400,800
401,800
402,800
403,800
404,800
405,800
406,800
407,800
408,800
409,800
410,800
411,800
412,800
413,800
414,800
415,800
416,800
417,800
418,800
419,800
420,800
421,800
422,800
423,800
424,800
425,800
426,800
427,800
428,800
429,800
430,800
431,800
432,800
433,800
434,800
435,800
436,800
437,800
438,800
439,800
440,800
441,800
442,800
443,800
444,800
445,800
446,800
447,800
448,800
449,800
450,800
451,800
452,800
453,800
454,800
455,800
456,800
457,800
458,800
459,800
460,800
461,800
462,800
463,800
464,800
465,800
466,800
467,800
468,800
469,800
470,800
471,800
472,800
473,800
474,800
475,800
476,800
477,800
478,800
479,800
480,800
481,800
482,800
483,800
484,800
485,800
486,800
487,800
488,800
489,800
490,800
491,800
492,800
493,800
494,800
495,800
496,800
497,800
498,800
499,800
500,800
501,800
502,800
503,800
504,800
505,800
506,800
507,800
508,800
509,800
510,800
511,800
512,800
513,800
514,800
515,800
516,800
517,800
518,800
519,800
520,800
521,800
522,800
523,800
524,800
525,800
526,800
527,800
528,800
529,800
530,800
531,800
532,800
533,800
534,800
535,800
536,800
537,800
538,800
539,800
540,800
541,800
542,800
543,800
544,800
545,800
546,800
547,800
548,800
549,800
550,800
551,800
552,800
553,800
554,800
555,800
556,800
557,800
558,800
559,800
560,800
561,800
562,800
563,800
564,800
565,800
566,800
567,800
568,800
569,800
570,800
571,800
572,800
573,800
574,800
575,800
576,800
577,800
578,800
579,800
580,800
581,800
582,800
583,800
584,800
585,800
586,800
587,800
588,800
589,800
590,800
591,800
592,800
593,800
594,800
595,800
596,800
597,800
598,800
599,800
600,800
601,800
602,800
603,800
604,800
605,800
606,800
607,800
608,800
609,800
610,800
611,800
612,800
613,800
614,800
615,800
616,800
617,800
618,800
619,800
620,800
621,800
622,800
623,800
624,800
625,800
626,800
627,800
628,800
629,800
630,800
631,800
632,800
633,800
634,800
635,800
636,800
637,800
638,800
639,800
640,800
641,800
642,800
643,800
644,800
645,800
646,800
647,800
648,800
649,800
650,800
651,800
652,800
653,800
654,800
655,800
656,800
657,800
658,800
659,800
660,800
661,800
662,800
663,800
664,800
665,800
666,800
667,800
668,800
669,800
670,800
671,800
672,800
673,800
674,800
675,800
676,800
677,800
678,800
679,800
680,800
681,800
682,800
683,800
684,800
685,800
686,800
687,800
688,800
689,800
690,800
691,800
692,800
693,800
694,800
695,800
696,800
697,800
698,800
699,800
700,800
701,800
702,800
703,800
704,800
705,800
706,800
707,800
708,800
709,800
710,800
711,800
712,800
713,800
714,800
715,800
716,800
717,800
718,800
719,800
720,800
721,800
722,800
723,800
724,800
725,800
726,800
727,800
728,800
729,800
730,800
731,800
732,800
733,800
734,800
735,800
736,800
737,800
738,800
739,800
740,800
741,800
742,800
743,800
744,800
745,800
746,800
747,800
748,800
749,800
750,800
751,800
752,800
753,800
754,800
755,800
756,800
757,800
758,800
759,800
760,800
761,800
762,800
763,800
764,800
765,800
766,800
767,800
768,800
769,800
770,800
771,800
772,800
773,800
774,800
775,800
776,800
777,800
778,800
779,800
780,800
781,800
782,800
783,800
784,800
785,800
786,800
787,800
788,800
789,800
790,800
791,800
792,800
793,800
794,800
795,800
796,800
797,800
798,800
799,800
800,800
801,800
802,800
803,800
804,800
805,800
806,800
807,800
808,800
809,800
810,800
811,800
812,800
813,800
814,800
815,800
816,800
817,800
818,800
819,800
820,800
821,800
822,800
823,800
824,800
825,800
826,800
827,800
828,800
829,800
830,800
831,800
832,800
833,800
834,800
835,800
836,800
837,800
838,800
839,800
840,800
841,800
842,800
843,800
844,800
845,800
846,800
847,800
848,800
849,800
850,800
851,800
852,800
853,800
854,800
855,800
856,800
857,800
858,800
859,800
860,800
861,800
862,800
863,800
864,800
865,800
866,800
867,800
868,800
869,800
870,800
871,800
872,800
873,800
874,800
875,800
876,800
877,800
878,800
879,800
880,800
881,800
882,800
883,800
884,800
885,800
886,800
887,800
888,800
889,800
890,800
891,800
892,800
893,800
894,800
895,800
896,800
897,800
898,800
899,800
900,800
901,800
902,800
903,800
904,800
905,800
906,800
907,800
908,800
909,800
910,800
911,800
912,800
913,800
914,800
915,800
916,800
917,800
918,800
919,800
920,800
921,800
922,800
923,800
924,800
925,800
926,800
927,800
928,800
929,800
930,800
931,800
932,800
933,800
934,800
935,800
936,800
937,800
938,800
939,800
940,800
941,800
942,800
943,800
944,800
945,800
946,800
947,800
948,800
949,800
950,800
951,800
952,800
953,800
954,800
955,800
956,800
957,800
958,800
959,800
960,800
961,800
962,800
963,800
964,800
965,800
966,800
967,800
968,800
969,800
970,800
971,800
972,800
973,800
974,800
975,800
976,800
977,800
978,800
979,800
980,800
981,800
982,800
983,800
984,800
985,800
986,800
987,800
988,800
989,800
990,800
991,800
992,800
993,800
994,800
995,800
996,800
997,800
998,800
999,800
1000,800
1001,800
1002,800
1003,800
1004,800
1005,800
1006,800
1007,800
1008,800
1009,800
1010,800
1011,800
1012,800
1013,800
1014,800
1015,800
1016,800
1017,800
1018,800
1019,800
1020,800
1021,800
1022,800
1023,800
1024,800
1025,800
1026,800
1027,800
1028,800
1029,800
1030,800
1031,800
1032,800
1033,800
1034,800
1035,800
1036,800
1037,800
1038,800
1039,800
1040,800
1041,800
1042,800
1043,800
1044,800
1045,800
1046,800
1047,800
1048,800
1049,800
1050,800
1051,800
1052,800
1053,800
1054,800
1055,800
1056,800
1057,800
1058,800
1059,800
1060,800
1061,800
1062,800
1063,800
1064,800
1065,800
1066,800
1067,800
1068,800
1069,800
1070,800
1071,800
1072,800
1073,800
1074,800
1075,800
1076,800
1077,800
1078,800
1079,800
1080,800
1081,800
1082,800
1083,800
1084,800
1085,800
1086,800
1087,800
1088,800
1089,800
1090,800
1091,800
1092,800
1093,800
1094,800
1095,800
1096,800
1097,800
1098,800
1099,800
1100,800
1101,800
1102,800
1103,800
1104,800
1105,800
1106,800
1107,800
1108,800
1109,800
1110,800
1111,800
1112,800
1113,800
1114,800
1115,800
1116,800
1117,800
1118,800
1119,800
1120,800
1121,800
1122,800
1123,800
1124,800
1125,800
1126,800
1127,800
1128,800
1129,800
1130,800
1131,800
1132,800
1133,800
1134,800
1135,800
1136,800
1137,800
1138,800
1139,800
1140,800
1141,800
1142,800
1143,800
1144,800
1145,800
1146,800
1147,800
1148,800
1149,800
1150,800
1151,800
1152,800
1153,800
1154,800
1155,800
1156,800
1157,800
1158,800
1159,800
1160,800
1161,800
1162,800
1163,800
1164,800
1165,800
1166,800
1167,800
1168,800
1169,800
1170,800
1171,800
1172,800
1173,800
1174,800
1175,800
1176,800
1177,800
1178,800
1179,800
1180,800
1181,800
1182,800
1183,800
1184,800
1185,800
1186,800
1187,800
1188,800
1189,800
1190,800
1191,800
1192,800
1193,800
1194,800
1195,800
1196,800
1197,800
1198,800
1199,800
1200,800
1201,800
1202,800
1203,800
1204,800
1205,800
1206,800
1207,800
1208,800
1209,800
1210,800
1211,800
1212,800
1213,800
1214,800
1215,800
1216,800
1217,800
1218,800
1219,800
1220,800
1221,800
1222,800
1223,800
1224,800
1225,800
1226,800
1227,800
1228,800
1229,800
1230,800
1231,800
1232,800
1233,800
1234,800
1235,800
1236,800
1237,800
1238,800
1239,800
1240,800
1241,800
1242,800
1243,800
1244,800
1245,800
1246,800
1247,800
1248,800
1249,800
1250,800
1251,800
1252,800
1253,800
1254,800
1255,800
1256,800
1257,800
1258,800
1259,800
1260,800
1261,800
1262,800
1263,800
1264,800
1265,800
1266,800
1267,800
1268,800
1269,800
1270,800
1271,800
1272,800
1273,800
1274,800
1275,800
1276,800
1277,800
1278,800
1279,800
1280,800
1281,800
1282,800
1283,800
1284,800
1285,800
1286,800
1287,800
1288,800
1289,800
1290,800
1291,800
1292,800
1293,800
1294,800
1295,800
1296,800
1297,800
1298,800
1299,800
1300,800
1301,800
1302,800
1303,800
1304,800
1305,800
1306,800
1307,800
1308,800
1309,800
1310,800
1311,800
1312,800
1313,800
1314,800
1315,800
1316,800
1317,800
1318,800
1319,800
1320,800
1321,800
1322,800
1323,800
1324,800
1325,800
1326,800
1327,800
1328,800
1329,800
1330,800
1331,800
1332,800
1333,800
1334,800
1335,800
1336,800
1337,800
1338,800
1339,800
1340,800
1341,800
1342,800
1343,800
1344,800
1345,800
1346,800
1347,800
1348,800
1349,800
1350,800
1351,800
1352,800
1353,800
1354,800
1355,800
1356,800
1357,800
1358,800
1359,800
1360,800
1361,800
1362,800
1363,800
1364,800
1365,800
1366,800
1367,800
1368,800
1369,800
1370,800
1371,800
1372,800
1373,800
1374,800
1375,800
1376,800
1377,800
1378,800
1379,800
1380,800
1381,800
1382,800
1383,800
1384,800
1385,800
1386,800
1387,800
1388,800
1389,800
1390,800
1391,800
1392,800
1393,800
1394,800
1395,800
1396,800
1397,800
1398,800
1399,800
1400,800
1401,800
1402,800
1403,800
1404,800
1405,800
1406,800
1407,800
1408,800
1409,800
1410,800
1411,800
1412,800
1413,800
1414,800
1415,800
1416,800
1417,800
1418,800
1419,800
1420,800
1421,800
1422,800
1423,800
1424,800
1425,800
1426,800
1427,800
1428,800
1429,800
1430,800
1431,800
1432,800
1433,800
1434,800
1435,800
1436,800
1437,800
1438,800
1439,800
1440,800
1441,800
1442,800
1443,800
1444,800
1445,800
1446,800
1447,800
1448,800
1449,800
1450,800
1451,800
1452,800
1453,800
1454,800
1455,800
1456,800
1457,800
1458,800
1459,800
1460,800
1461,800
1462,800
1463,800
1464,800
1465,800
1466,800
1467,800
1468,800
1469,800
1470,800
1471,800
1472,800
1473,800
1474,800
1475,800
1476,800
1477,800
1478,800
1479,800
1480,800
1481,800
1482,800
1483,800
1484,800
1485,800
1486,800
1487,800
1488,800
1489,800
1490,800
1491,800
1492,800
1493,800
1494,800
1495,800
1496,800
1497,800
1498,800
1499,800
1500,800
1501,800
1502,800
1503,800
1504,800
1505,800
1506,800
1507,800
1508,800
1509,800
1510,800
1511,800
1512,800
1513,800
1514,800
1515,800
1516,800
1517,800
1518,800
1519,800
1520,800
1521,800
1522,800
1523,800
1524,800
1525,800
1526,800
1527,800
1528,800
1529,800
1530,800
1531,800
1532,800
1533,800
1534,800
1535,800
1536,800
1537,800
1538,800
1539,800
1540,800
1541,800
1542,800
1543,800
1544,800
1545,800
1546,800
1547,800
1548,800
1549,800
1550,800
1551,800
1552,800
1553,800
1554,800
1555,800
1556,800
1557,800
1558,800
1559,800
1560,800
1561,800
1562,800
1563,800
1564,800
1565,800
1566,800
1567,800
1568,800
1569,800
1570,800
1571,800
1572,800
1573,800
1574,800
1575,800
1576,800
1577,800
1578,800
1579,800
1580,800
1581,800
1582,800
1583,800
1584,800
1585,800
1586,800
1587,800
1588,800
1589,800
1590,800
1591,800
1592,800
1593,800
1594,800
1595,800
1596,800
1597,800
1598,800
1599,800
1600,800
1601,800
1602,800
1603,800
1604,800
1605,800
1606,800
1607,800
1608,800
1609,800
1610,800
1611,800
1612,800
1613,800
1614,800
1615,800
1616,800
1617,800
1618,800
1619,800
1620,800
1621,800
1622,800
1623,800
1624,800
1625,800
1626,800
1627,800
1628,800
1629,800
1630,800
1631,800
1632,800
1633,800
1634,800
1635,800
1636,800
1637,800
1638,800
1639,800
1640,800
1641,800
1642,800
1643,800
1644,800
1645,800
1646,800
1647,800
1648,800
1649,800
1650,800
1651,800
1652,800
1653,800
1654,800
1655,800
1656,800
1657,800
1658,800
