tick,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
0,4600,4853,3,411
1,4600,4853,22,55
2,4600,4853,254,4
3,4600,4853,71,11
4,4600,4853,104,15
5,4600,4853,73,14
6,4600,4853,18,27
7,4600,4853,6,53
8,4600,4853,286,4
9,4600,4853,75,12
10,4600,4853,31,28
11,4600,4853,8,18
12,4600,4853,364,1
13,4600,4853,172,1
14,4600,4853,12,14
15,4600,4853,50,20
16,4600,4853,25,28
17,4600,4853,3,47
18,4600,4853,6,31
19,4600,4853,43,10
20,4600,4853,51,9
21,4600,4853,77,6
22,4600,4853,42,5
23,4600,4853,15,10
24,4600,4853,92,5
25,4600,4853,70,8
26,4600,4853,72,7
27,4600,4853,34,5
28,4600,4853,35,66
29,4600,4853,11,49
30,4600,4853,11,283
31,4600,4853,3,341
32,4600,4853,12,332
33,4600,4853,7,716
34,4600,4853,2,574
35,4600,4853,10,763
36,4600,4853,176,628
37,4600,4853,19,779
38,4600,4853,2,612
39,4600,4853,2,660
40,4600,4853,3,745
41,4600,4853,36,656
42,4600,4853,3,572
43,4600,4853,10,566
44,4600,4853,112,538
45,4600,4853,2,495
46,4600,4853,3,400
47,4600,4853,8,338
48,4600,4853,9,354
49,4600,4853,2,195
50,4600,4853,3,306
51,4600,4853,15,286
52,4600,4853,1,350
53,4600,4853,4,236
54,4600,4853,53,129
55,4600,4853,3,53
56,4600,4853,73,12
57,4600,4853,14,19
58,4600,4853,15,41
59,4600,4853,9,62
60,4600,4853,39,28
61,4600,4853,81,9
62,4600,4853,104,7
63,4600,4853,22,19
64,4600,4853,70,18
65,4600,4853,208,12
66,4600,4853,298,28
67,4600,4853,258,5
68,4600,4853,44,15
69,4600,4853,13,33
70,4600,4853,5,162
71,4600,4853,3,281
72,4600,4853,5,102
73,4600,4853,7,45
74,4600,4853,4,85
75,4600,4853,16,219
76,4600,4853,2,283
77,4600,4853,2,520
78,4600,4853,1,649
79,4600,4853,1,934
80,4600,4853,128,708
81,4600,4853,52,396
82,4600,4853,4,198
83,4600,4853,4,521
84,4600,4853,10,194
85,4600,4853,13,133
86,4600,4853,7,173
87,4600,4853,4,421
88,4600,4853,15,86
89,4600,4853,26,64
90,4600,4853,9,94
91,4600,4853,40,129
92,4600,4853,90,58
93,4600,4853,73,83
94,4600,4853,9,183
95,4600,4853,56,68
96,4600,4853,4,703
97,4697,4853,1,1047
98,4698,4853,0,1219
99,4699,4853,1,1189
100,4700,4853,66,687
101,4701,4853,8,563
102,4702,4853,1,668
103,4703,4853,0,675
104,4704,4853,1,571
105,4705,4853,0,786
106,4706,4853,0,993
107,4707,4853,0,982
108,4708,4853,7,906
109,4709,4853,8,495
110,4710,4853,8,288
111,4711,4853,3,235
112,4712,4853,16,121
113,4713,4853,36,103
114,4714,4853,3,90
115,4715,4853,6,100
116,4716,4853,1,389
117,4717,4853,0,620
118,4718,4853,8,478
119,4719,4853,141,211
120,4720,4853,16,279
121,4721,4853,1,237
122,4722,4853,5,167
123,4723,4853,37,127
124,4724,4853,24,65
125,4725,4853,21,77
126,4726,4853,17,80
127,4727,4853,60,205
128,4728,4853,29,234
129,4729,4853,139,335
130,4730,4853,164,163
131,4731,4853,170,62
132,4732,4853,155,85
133,4733,4853,10,41
134,4734,4853,14,83
135,4735,4853,141,4
136,4736,4853,51,28
137,4737,4853,73,22
138,4738,4853,66,18
139,4739,4853,6,30
140,4740,4853,31,116
141,4741,4853,117,12
142,4742,4853,125,7
143,4743,4853,163,2
144,4744,4853,183,17
145,4745,4853,181,14
146,4746,4853,226,3
147,4747,4853,240,0
148,4748,0,164,68
149,4749,0,122,6
150,4750,0,193,2
151,4751,0,52,84
152,4752,0,118,66
153,4753,0,305,7
154,4754,0,296,1
155,4755,0,146,7
156,4756,0,36,6
157,4757,0,180,4
158,4758,0,137,3
159,4759,0,110,5
160,4760,4853,16,11
161,4761,0,157,42
162,4762,0,171,3
163,4763,0,543,8
164,4764,0,223,59
165,4765,0,107,78
166,4766,0,90,60
167,4767,0,125,3
168,4768,0,290,8
169,4769,0,767,12
170,4770,0,271,56
171,4771,0,112,6
172,4772,0,652,8
173,4773,0,890,0
174,4774,0,637,2
175,4775,0,519,5
176,4776,4853,300,3
177,4777,0,343,2
178,4778,0,269,5
179,4779,0,138,2
180,4780,0,257,4
181,4781,0,102,5
182,4782,0,21,10
183,4783,0,39,20
184,4784,0,751,21
185,4785,0,775,62
186,4786,0,335,10
187,4787,0,278,51
188,4788,0,205,240
189,4789,0,124,56
190,4790,0,42,94
191,4791,0,78,135
192,4792,4853,522,14
193,4793,0,652,0
194,4794,0,375,2
195,4795,0,106,7
196,4796,0,690,3
197,4797,0,438,1
198,4798,0,139,8
199,4799,0,15,27
200,4800,0,154,20
201,4801,0,52,19
202,4802,0,3,91
203,4803,0,5,28
204,4804,0,80,10
205,4805,0,170,4
206,4806,0,19,13
207,4807,0,4,32
208,4808,4853,45,46
209,4809,0,120,7
210,4810,0,209,1
211,4811,0,121,7
212,4812,0,376,7
213,4813,0,371,1
214,4814,0,284,2
215,4815,0,167,6
216,4816,0,444,4
217,4817,0,574,0
218,4818,0,598,39
219,4819,0,425,80
220,4820,0,179,152
221,4821,0,172,14
222,4822,0,454,1
223,4823,0,279,21
224,4824,4853,102,34
225,4825,0,52,90
226,4826,0,25,56
227,4827,0,108,31
228,4828,0,9,283
229,4829,0,3,252
230,4830,0,141,43
231,4831,0,335,6
232,4832,0,121,62
233,4833,0,156,4
234,4834,0,74,13
235,4835,0,149,19
236,4836,0,47,148
237,4837,0,106,27
238,4838,0,521,11
239,4839,0,652,0
240,4840,4853,497,1
241,4841,0,513,41
242,4842,0,382,8
243,4843,0,139,19
244,4844,0,397,5
245,4845,0,415,7
246,4846,0,558,3
247,4847,0,515,0
248,4848,0,608,4
249,4849,0,807,75
250,4850,0,817,187
251,4851,0,610,401
252,4852,0,330,124
253,4853,0,136,22
254,4854,0,87,4
255,4855,0,120,7
256,4856,4853,308,8
257,4857,0,393,4
258,4858,0,1057,0
259,4859,0,1334,14
260,4860,0,873,3
261,4861,0,773,1
262,4862,0,596,20
263,4863,0,326,65
264,4864,0,48,86
265,4865,0,49,77
266,4866,0,18,133
267,4867,0,461,2
268,4868,0,772,1
269,4869,0,421,17
270,4870,0,318,119
271,4871,0,76,40
272,4872,4853,782,7
273,4873,0,780,0
274,4874,0,715,0
275,4875,0,599,10
276,4876,0,654,2
277,4877,0,537,2
278,4878,0,304,2
279,4879,0,334,4
280,4880,0,499,33
281,4881,0,310,2
282,4882,0,265,2
283,4883,0,230,14
284,4884,0,769,1
285,4885,0,1032,0
286,4886,0,842,1
287,4887,0,513,13
288,4888,4332,68,4
289,4889,0,61,10
290,4890,0,207,13
291,4891,0,15,37
292,4892,0,23,42
293,4893,0,215,5
294,4894,0,302,1
295,4895,0,39,19
296,4896,0,39,28
297,4897,0,99,5
298,4898,0,115,1
299,4899,0,7,35
300,4900,0,5,335
301,4901,0,4,102
302,4902,0,103,14
303,4903,0,66,13
304,4904,4332,151,3
305,4905,0,146,6
306,4906,0,111,29
307,4907,0,242,0
308,4908,0,75,27
309,4909,0,38,179
310,4910,0,225,38
311,4911,0,264,4
312,4912,0,109,129
313,4913,0,93,229
314,4914,0,34,203
315,4915,0,152,15
316,4916,0,227,24
317,4917,0,219,18
318,4918,0,305,7
319,4919,0,589,0
320,4920,4332,952,5
321,4921,0,452,0
322,4922,0,855,114
323,4923,0,727,2
324,4924,0,705,1
325,4925,0,1022,2
326,4926,0,832,0
327,4927,0,915,0
328,4928,0,1546,0
329,4929,0,1160,0
330,4930,0,925,8
331,4931,0,1155,1
332,4932,0,685,31
333,4933,0,771,0
334,4934,0,578,2
335,4935,0,515,2
336,4936,4332,657,2
337,4937,0,1218,1
338,4938,0,1025,3
339,4939,0,820,3
340,4940,0,933,6
341,4941,0,827,7
342,4942,0,709,2
343,4943,0,656,16
344,0,0,565,19
345,0,0,427,1
346,0,0,368,1
347,0,0,95,33
348,0,0,273,25
349,0,0,541,6
350,0,0,550,56
351,0,0,224,11
352,4155,4332,37,34
353,0,0,15,16
354,0,0,53,39
355,0,0,182,11
356,0,0,509,2
357,0,0,458,4
358,0,0,333,0
359,0,0,386,0
360,0,0,565,1
361,0,0,615,0
362,0,0,642,1
363,0,0,324,0
364,0,0,311,3
365,0,0,107,17
366,0,0,51,18
367,0,0,65,5
368,4155,4332,957,0
369,0,0,485,11
370,0,0,428,16
371,0,0,86,14
372,0,0,255,2
373,0,0,500,2
374,0,0,224,8
375,0,0,76,52
376,0,0,298,7
377,0,0,271,13
378,0,0,118,26
379,0,0,117,13
380,0,0,461,2
381,0,0,499,1
382,0,0,419,5
383,0,0,98,27
384,4155,4332,48,77
385,0,0,239,10
386,0,0,168,2
387,0,0,40,7
388,0,0,259,7
389,0,0,195,2
390,0,0,299,1
391,0,0,242,5
392,0,0,62,5
393,0,0,42,13
394,0,0,30,19
395,0,0,200,3
396,0,0,207,1
