,output_raw_mill,el_cons_raw_mill,raw_mill_on,raw_mill_start,raw_mill_stop,raw_mill_shut_down,raw_mill_shut_down_change,input_kiln,output_kiln,el_cons_kiln,kiln_on,el_cons_cement_mill,cement_mill_on,cement_mill_start,cement_mill_stop,cement_mill_shut_down,cement_mill_shut_down_change,input_cement_mill,output_cement_mill,raw_meal_silo,clinker_dome,el_cons_total,slag,PFC
0,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.7,130.0,9.879999999999999,0.0,30.0
1,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.4,260.0,9.879999999999999,0.0,500.0
2,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,152.1,390.0,9.879999999999999,0.0,20.0
3,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,202.8,520.0,9.879999999999999,0.0,20.0
4,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.5,650.0,9.879999999999999,0.0,20.0
5,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,304.2,780.0,9.879999999999999,0.0,20.0
6,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,354.9,910.0,9.879999999999999,0.0,20.0
7,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,405.6,1040.0,9.879999999999999,0.0,20.0
8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,196.3,1170.0,3.9,0.0,500.0
9,260.0,5.9799999999999995,1.0,1.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,247.0,1300.0,9.879999999999999,0.0,20.0
10,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,297.7,1430.0,9.879999999999999,0.0,20.0
11,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,348.4,1560.0,9.879999999999999,0.0,30.0
12,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,399.1,1690.0,9.879999999999999,0.0,20.0
13,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,449.8,1820.0,9.879999999999999,0.0,20.0
14,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,500.5,1950.0,9.879999999999999,0.0,20.0
15,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,551.2,2080.0,9.879999999999999,0.0,500.0
16,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,601.9,2210.0,9.879999999999999,0.0,500.0
17,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,652.6,2340.0,9.879999999999999,0.0,20.0
18,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,703.3,2470.0,9.879999999999999,0.0,500.0
19,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,754.0,2600.0,9.879999999999999,0.0,20.0
20,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,804.7,2730.0,9.879999999999999,0.0,500.0
21,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,855.4,2860.0,9.879999999999999,0.0,20.0
22,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,906.1,2990.0,9.879999999999999,0.0,20.0
23,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,956.8,3120.0,9.879999999999999,0.0,20.0
24,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1007.5,3250.0,9.879999999999999,0.0,20.0
25,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1058.2,3380.0,9.879999999999999,0.0,20.0
26,0.0,0.0,0.0,0.0,1.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,848.9,3510.0,3.9,0.0,500.0
27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,639.6,3640.0,3.9,0.0,20.0
28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,430.3,3770.0,3.9,0.0,20.0
29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221.0,3900.0,3.9,0.0,500.0
30,260.0,5.9799999999999995,1.0,1.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,271.7,4030.0,9.879999999999999,0.0,20.0
31,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,322.4,4160.0,9.879999999999999,0.0,20.0
32,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,373.1,4290.0,9.879999999999999,0.0,20.0
33,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,423.8,4420.0,9.879999999999999,0.0,0.0
34,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,474.5,4550.0,9.879999999999999,0.0,0.0
35,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,525.2,4680.0,9.879999999999999,0.0,500.0
36,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,575.9,4810.0,9.879999999999999,0.0,20.0
37,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,626.6,4940.0,9.879999999999999,0.0,0.0
38,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,677.3,5070.0,9.879999999999999,0.0,20.0
39,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,728.0,5200.0,9.879999999999999,0.0,500.0
40,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,778.7,5330.0,9.879999999999999,0.0,20.0
41,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,829.4,5460.0,9.879999999999999,0.0,20.0
42,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,880.1,5590.0,9.879999999999999,0.0,20.0
43,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,930.8,5720.0,9.879999999999999,0.0,500.0
44,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,1.0,0.0,1.0,1.0,335.4,390.0,981.5,5514.6,25.479999999999997,0.0,20.0
45,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,1032.2,5309.2,25.479999999999997,0.0,20.0
46,0.0,0.0,0.0,0.0,1.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,822.9,5103.8,19.5,0.0,500.0
47,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,613.6,4898.4,19.5,0.0,20.0
48,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,404.3,4693.0,19.5,0.0,500.0
49,0.0,0.0,0.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,195.0,4487.6,19.5,0.0,30.0
50,260.0,5.9799999999999995,1.0,1.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,245.7,4282.2,25.479999999999997,0.0,0.0
51,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,296.4,4076.8,25.479999999999997,0.0,20.0
52,260.0,5.9799999999999995,1.0,0.0,0.0,1.0,1.0,209.3,130.0,3.9,1.0,15.6,1.0,0.0,0.0,1.0,1.0,335.4,390.0,347.1,3871.4,25.479999999999997,0.0,20.0
