,Power
2016-01-01 00:00:00,990.0
2016-01-01 00:15:00,0.0
2016-01-01 00:30:00,732.0
2016-01-01 00:45:00,850.0
2016-01-01 01:00:00,872.0
2016-01-01 01:15:00,812.0
2016-01-01 01:30:00,990.0
2016-01-01 01:45:00,990.0
2016-01-01 02:00:00,0.0
2016-01-01 02:15:00,825.0
2016-01-01 02:30:00,650.0
2016-01-01 02:45:00,990.0
2016-01-01 03:00:00,0.0
2016-01-01 03:15:00,0.0
2016-01-01 03:30:00,0.0
2016-01-01 03:45:00,0.0
2016-01-01 04:00:00,0.0
2016-01-01 04:15:00,872.0
2016-01-01 04:30:00,50.0
2016-01-01 04:45:00,990.0
2016-01-01 05:00:00,150.0
2016-01-01 05:15:00,609.0
2016-01-01 05:30:00,990.0
2016-01-01 05:45:00,990.0
2016-01-01 06:00:00,990.0
2016-01-01 06:15:00,584.0
2016-01-01 06:30:00,0.0
2016-01-01 06:45:00,990.0
2016-01-01 07:00:00,990.0
2016-01-01 07:15:00,104.0
2016-01-01 07:30:00,637.0
2016-01-01 07:45:00,990.0
2016-01-01 08:00:00,233.0
2016-01-01 08:15:00,1473.0
2016-01-01 08:30:00,1473.0
2016-01-01 08:45:00,1.0
2016-01-01 09:00:00,499.0
2016-01-01 09:15:00,1473.0
2016-01-01 09:30:00,794.0
2016-01-01 09:45:00,0.0
2016-01-01 10:00:00,1473.0
2016-01-01 10:15:00,913.0
2016-01-01 10:30:00,1135.0
2016-01-01 10:45:00,0.0
2016-01-01 11:00:00,1352.0
2016-01-01 11:15:00,1473.0
2016-01-01 11:30:00,148.0
2016-01-01 11:45:00,819.0
2016-01-01 12:00:00,0.0
2016-01-01 12:15:00,1476.0
2016-01-01 12:30:00,1476.0
2016-01-01 12:45:00,956.0
2016-01-01 13:00:00,288.0
2016-01-01 13:15:00,0.0
2016-01-01 13:30:00,491.0
2016-01-01 13:45:00,1272.0
2016-01-01 14:00:00,1466.0
2016-01-01 14:15:00,220.0
2016-01-01 14:30:00,1476.0
2016-01-01 14:45:00,1037.0
2016-01-01 15:00:00,1476.0
2016-01-01 15:15:00,1476.0
2016-01-01 15:30:00,934.0
2016-01-01 15:45:00,377.0
2016-01-01 16:00:00,8.0
2016-01-01 16:15:00,0.0
2016-01-01 16:30:00,819.0
2016-01-01 16:45:00,848.0
2016-01-01 17:00:00,1415.0
2016-01-01 17:15:00,1415.0
2016-01-01 17:30:00,1415.0
2016-01-01 17:45:00,1415.0
2016-01-01 18:00:00,90.0
2016-01-01 18:15:00,0.0
2016-01-01 18:30:00,715.0
2016-01-01 18:45:00,598.0
2016-01-01 19:00:00,1415.0
2016-01-01 19:15:00,1138.0
2016-01-01 19:30:00,0.0
2016-01-01 19:45:00,0.0
2016-01-01 20:00:00,0.0
2016-01-01 20:15:00,0.0
2016-01-01 20:30:00,195.0
2016-01-01 20:45:00,1329.0
2016-01-01 21:00:00,332.0
2016-01-01 21:15:00,1357.0
2016-01-01 21:30:00,1357.0
2016-01-01 21:45:00,1357.0
2016-01-01 22:00:00,1357.0
2016-01-01 22:15:00,1332.0
2016-01-01 22:30:00,0.0
2016-01-01 22:45:00,0.0
2016-01-01 23:00:00,258.0
2016-01-01 23:15:00,1357.0
2016-01-01 23:30:00,0.0
2016-01-01 23:45:00,1357.0
