PFC,prod_opt_0,prod_opt_1,prod_opt_2,prod_opt_3,Price,Power
300.0,50.0,,,,30.0,400.0
-500.0,400.0,,,,0.0,400.0
300.0,50.0,,,,10.0,400.0
300.0,50.0,,,,10.0,400.0
300.0,400.0,,,,10.0,400.0
300.0,400.0,,,,10.0,400.0
300.0,50.0,,,,20.0,400.0
300.0,50.0,,,,20.0,400.0
-500.0,400.0,,,,-500.0,400.0
300.0,50.0,,,,10.0,400.0
100.0,400.0,,,,10.0,400.0
300.0,50.0,,,,30.0,400.0
100.0,400.0,,,,0.0,400.0
300.0,50.0,,,,0.0,400.0
300.0,50.0,,,,0.0,400.0
-500.0,400.0,,,,0.0,400.0
-500.0,400.0,,,,-500.0,400.0
300.0,50.0,,,,10.0,400.0
-500.0,400.0,,,,0.0,400.0
300.0,50.0,,,,30.0,400.0
-500.0,400.0,,,,10.0,400.0
100.0,400.0,,,,10.0,400.0
300.0,50.0,,,,30.0,400.0
300.0,50.0,,,,30.0,400.0
300.0,50.0,50.0,,,30.0,400.0
100.0,400.0,400.0,,,10.0,400.0
-500.0,400.0,400.0,,,-500.0,400.0
300.0,50.0,50.0,,,30.0,400.0
300.0,50.0,50.0,,,30.0,400.0
-500.0,400.0,400.0,,,10.0,400.0
300.0,50.0,50.0,,,10.0,400.0
300.0,50.0,50.0,,,30.0,400.0
300.0,50.0,50.0,,,10.0,400.0
0.0,400.0,400.0,,,30.0,400.0
0.0,400.0,400.0,,,30.0,400.0
-500.0,400.0,400.0,,,0.0,400.0
100.0,400.0,350.0,,,10.0,400.0
0.0,400.0,400.0,,,30.0,400.0
300.0,50.0,50.0,,,10.0,400.0
-500.0,400.0,400.0,,,-500.0,400.0
300.0,50.0,50.0,,,30.0,400.0
300.0,50.0,50.0,,,10.0,400.0
300.0,50.0,50.0,,,10.0,400.0
-500.0,400.0,400.0,,,-500.0,400.0
300.0,50.0,50.0,,,10.0,400.0
300.0,50.0,50.0,,,20.0,400.0
-500.0,400.0,400.0,,,0.0,400.0
300.0,350.0,50.0,,,10.0,400.0
-500.0,400.0,400.0,400.0,,-500.0,50.0
300.0,400.0,50.0,50.0,,20.0,50.0
0.0,400.0,400.0,400.0,,30.0,400.0
300.0,400.0,50.0,50.0,,10.0,50.0
300.0,400.0,50.0,50.0,,10.0,50.0
-500.0,400.0,400.0,400.0,,-500.0,50.0
300.0,400.0,50.0,50.0,,10.0,50.0
300.0,400.0,50.0,50.0,,10.0,50.0
300.0,400.0,50.0,50.0,,10.0,50.0
100.0,400.0,400.0,50.0,,10.0,50.0
300.0,400.0,50.0,50.0,,20.0,50.0
300.0,400.0,50.0,50.0,,10.0,50.0
300.0,400.0,50.0,50.0,,30.0,50.0
300.0,50.0,50.0,50.0,,30.0,400.0
300.0,50.0,50.0,50.0,,10.0,400.0
300.0,50.0,50.0,50.0,,10.0,50.0
-500.0,400.0,400.0,400.0,,0.0,50.0
-500.0,400.0,400.0,400.0,,-500.0,50.0
300.0,50.0,50.0,50.0,,10.0,50.0
300.0,50.0,50.0,50.0,,10.0,50.0
300.0,50.0,50.0,50.0,,30.0,50.0
300.0,50.0,50.0,50.0,,30.0,400.0
300.0,50.0,50.0,50.0,,20.0,400.0
300.0,50.0,50.0,50.0,,30.0,50.0
-500.0,400.0,400.0,400.0,400.0,0.0,400.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
300.0,50.0,50.0,50.0,50.0,10.0,50.0
300.0,50.0,50.0,50.0,50.0,10.0,50.0
0.0,400.0,400.0,400.0,50.0,30.0,50.0
300.0,50.0,50.0,50.0,50.0,10.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
100.0,400.0,50.0,50.0,50.0,10.0,50.0
300.0,50.0,50.0,50.0,50.0,10.0,50.0
100.0,400.0,50.0,50.0,50.0,10.0,50.0
0.0,400.0,400.0,400.0,400.0,30.0,50.0
0.0,400.0,400.0,55.0,400.0,30.0,350.0
0.0,400.0,400.0,50.0,55.0,30.0,50.0
300.0,50.0,50.0,50.0,50.0,30.0,50.0
300.0,50.0,50.0,50.0,50.0,10.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
100.0,400.0,50.0,50.0,50.0,10.0,50.0
300.0,50.0,50.0,50.0,50.0,30.0,50.0
-500.0,400.0,400.0,400.0,400.0,-500.0,50.0
0.0,400.0,400.0,50.0,50.0,30.0,50.0
