,Price
2019-01-01 00:00:00,33.800799999999995
2019-01-01 00:15:00,35.7192
2019-01-01 00:30:00,31.488571428571426
2019-01-01 00:45:00,31.31857142857143
2019-01-01 01:00:00,31.25
2019-01-01 01:15:00,29.92
2019-01-01 01:30:00,29.104741641337387
2019-01-01 01:45:00,29.93
2019-01-01 02:00:00,35.8952
2019-01-01 02:15:00,35.728
2019-01-01 02:30:00,41.425
2019-01-01 02:45:00,37.884
2019-01-01 03:00:00,35.903999999999996
2019-01-01 03:15:00,35.7368
2019-01-01 03:30:00,33.86
2019-01-01 03:45:00,33.44
2019-01-01 04:00:00,30.35857142857143
2019-01-01 04:15:00,30.02
2019-01-01 04:30:00,27.544
2019-01-01 04:45:00,38.236000000000004
2019-01-01 05:00:00,39.952
2019-01-01 05:15:00,39.4416
2019-01-01 05:30:00,39.468
2019-01-01 05:45:00,40.7968
2019-01-01 06:00:00,40.031200000000005
2019-01-01 06:15:00,39.468
2019-01-01 06:30:00,39.4504
2019-01-01 06:45:00,37.065599999999996
2019-01-01 07:00:00,40.04
2019-01-01 07:15:00,39.9696
2019-01-01 07:30:00,39.468
2019-01-01 07:45:00,39.7
2019-01-01 08:00:00,39.7
2019-01-01 08:15:00,38.2624
2019-01-01 08:30:00,38.940000000000005
2019-01-01 08:45:00,35.39868085106383
2019-01-01 09:00:00,37.0832
2019-01-01 09:15:00,40.119200000000006
2019-01-01 09:30:00,41.034400000000005
2019-01-01 09:45:00,40.946400000000004
2019-01-01 10:00:00,41.495
2019-01-01 10:15:00,41.495
2019-01-01 10:30:00,41.495
2019-01-01 10:45:00,41.505
2019-01-01 11:00:00,40.1368
2019-01-01 11:15:00,38.02
2019-01-01 11:30:00,33.900000000000006
2019-01-01 11:45:00,33.900000000000006
2019-01-01 12:00:00,33.58
2019-01-01 12:15:00,33.900000000000006
2019-01-01 12:30:00,33.75
2019-01-01 12:45:00,33.93
2019-01-01 13:00:00,33.76
2019-01-01 13:15:00,33.59
2019-01-01 13:30:00,33.59
2019-01-01 13:45:00,33.59
2019-01-01 14:00:00,34.775
2019-01-01 14:15:00,34.775
2019-01-01 14:30:00,33.94
2019-01-01 14:45:00,34.775
2019-01-01 15:00:00,39.115
2019-01-01 15:15:00,33.6
2019-01-01 15:30:00,33.6
2019-01-01 15:45:00,33.18
2019-01-01 16:00:00,34.1352
2019-01-01 16:15:00,39.125
2019-01-01 16:30:00,41.555
2019-01-01 16:45:00,41.785
2019-01-01 17:00:00,39.512
2019-01-01 17:15:00,39.5296
2019-01-01 17:30:00,40.1016
2019-01-01 17:45:00,41.795
2019-01-01 18:00:00,39.5472
2019-01-01 18:15:00,40.04
2019-01-01 18:30:00,39.520799999999994
2019-01-01 18:45:00,39.5296
2019-01-01 19:00:00,38.174400000000006
2019-01-01 19:15:00,33.8
2019-01-01 19:30:00,33.63
2019-01-01 19:45:00,33.13
2019-01-01 20:00:00,31.63857142857143
2019-01-01 20:15:00,31.46857142857143
2019-01-01 20:30:00,31.048571428571428
2019-01-01 20:45:00,30.9
2019-01-01 21:00:00,30.9
2019-01-01 21:15:00,30.49
2019-01-01 21:30:00,30.49
2019-01-01 21:45:00,30.32857142857143
2019-01-01 22:00:00,31.1608
2019-01-01 22:15:00,30.91
2019-01-01 22:30:00,30.49
2019-01-01 22:45:00,29.9464
2019-01-01 23:00:00,27.808
2019-01-01 23:15:00,27.350399999999997
2019-01-01 23:30:00,27.3592
2019-01-01 23:45:00,26.892799999999998
