,Power
2019-01-01 00:00:00,19004.0
2019-01-01 00:15:00,19749.0
2019-01-01 00:30:00,20474.0
2019-01-01 00:45:00,20755.0
2019-01-01 01:00:00,21190.0
2019-01-01 01:15:00,21904.0
2019-01-01 01:30:00,22467.0
2019-01-01 01:45:00,22585.0
2019-01-01 02:00:00,22678.0
2019-01-01 02:15:00,22864.0
2019-01-01 02:30:00,22575.0
2019-01-01 02:45:00,22876.0
2019-01-01 03:00:00,23561.0
2019-01-01 03:15:00,23589.0
2019-01-01 03:30:00,24017.0
2019-01-01 03:45:00,24314.0
2019-01-01 04:00:00,25359.0
2019-01-01 04:15:00,25805.0
2019-01-01 04:30:00,26196.0
2019-01-01 04:45:00,26326.0
2019-01-01 05:00:00,27101.0
2019-01-01 05:15:00,27238.0
2019-01-01 05:30:00,27598.0
2019-01-01 05:45:00,27779.0
2019-01-01 06:00:00,28711.0
2019-01-01 06:15:00,28916.0
2019-01-01 06:30:00,29262.0
2019-01-01 06:45:00,29456.0
2019-01-01 07:00:00,29550.0
2019-01-01 07:15:00,29842.0
2019-01-01 07:30:00,30146.0
2019-01-01 07:45:00,30083.0
2019-01-01 08:00:00,30384.0
2019-01-01 08:15:00,30392.0
2019-01-01 08:30:00,30393.0
2019-01-01 08:45:00,30589.0
2019-01-01 09:00:00,30394.0
2019-01-01 09:15:00,30357.0
2019-01-01 09:30:00,29852.0
2019-01-01 09:45:00,30196.0
2019-01-01 10:00:00,30746.0
2019-01-01 10:15:00,31065.0
2019-01-01 10:30:00,31491.0
2019-01-01 10:45:00,31942.0
2019-01-01 11:00:00,32574.0
2019-01-01 11:15:00,32861.0
2019-01-01 11:30:00,33222.0
2019-01-01 11:45:00,33303.0
2019-01-01 12:00:00,33190.0
2019-01-01 12:15:00,33194.0
2019-01-01 12:30:00,33442.0
2019-01-01 12:45:00,33689.0
2019-01-01 13:00:00,33951.0
2019-01-01 13:15:00,34080.0
2019-01-01 13:30:00,34199.0
2019-01-01 13:45:00,34457.0
2019-01-01 14:00:00,34466.0
2019-01-01 14:15:00,34386.0
2019-01-01 14:30:00,34846.0
2019-01-01 14:45:00,34796.0
2019-01-01 15:00:00,34321.0
2019-01-01 15:15:00,34439.0
2019-01-01 15:30:00,34778.0
2019-01-01 15:45:00,35375.0
2019-01-01 16:00:00,35748.0
2019-01-01 16:15:00,35806.0
2019-01-01 16:30:00,35674.0
2019-01-01 16:45:00,35727.0
2019-01-01 17:00:00,36066.0
2019-01-01 17:15:00,36338.0
2019-01-01 17:30:00,36421.0
2019-01-01 17:45:00,36306.0
2019-01-01 18:00:00,36198.0
2019-01-01 18:15:00,36245.0
2019-01-01 18:30:00,36470.0
2019-01-01 18:45:00,36382.0
2019-01-01 19:00:00,36057.0
2019-01-01 19:15:00,36023.0
2019-01-01 19:30:00,36044.0
2019-01-01 19:45:00,36056.0
2019-01-01 20:00:00,36206.0
2019-01-01 20:15:00,36066.0
2019-01-01 20:30:00,36002.0
2019-01-01 20:45:00,35947.0
2019-01-01 21:00:00,35891.0
2019-01-01 21:15:00,36143.0
2019-01-01 21:30:00,35936.0
2019-01-01 21:45:00,35720.0
2019-01-01 22:00:00,34625.0
2019-01-01 22:15:00,34988.0
2019-01-01 22:30:00,34969.0
2019-01-01 22:45:00,35366.0
2019-01-01 23:00:00,35150.0
2019-01-01 23:15:00,35022.0
2019-01-01 23:30:00,34330.0
2019-01-01 23:45:00,34292.0
